#######Three Sisters
####Northern Claim on Three Sisters
mbs_reclaim_north_sisters_dec;Предъявить претензию на Сестер;x
mbs_reclaim_north_sisters_dec_desc;Разгневанные из-за постоянных налетов с Трех Сестер, древние Короли Зимы решили подмять под своей пятой разбойников Трех Сестер, сразившись в тысячелетней Войне-через-Воды с королями-Арренами из Долины, которые предложили сестринцам свою защиту. Возможно пришло время снова предъявить древнюю претензию на Три Сестры как неоспоримыми владениями Севера?;x
EVTtitlembs_border_dispute.1;Сокол и Волк;x
EVTDESCmbs_border_dispute.1;Вы вызываете своего мейстера к себе и приказываете ему отправить воронов всем своим вассалам. В древней Войне-через-Воды Короли Зимы сражались с Королями Долины за владение Тремя Сестрами тысячи лет, передавая контроль над островами из рук в руки множество раз. Сейчас вы неоспоримый правитель Севера и вы хотите вернуть землю, которая по праву является частью вашей державы. Да будет известно всем, что вы неоспоримый хозяин Трех Сестер.;x
EVTtitlembs_border_dispute.101;Сокол и Волк;x
EVTDESCmbs_border_dispute.101;Мой [This.GetLordLady], возмутительные новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] возобновить древний спор над Тремя Сестрами, который вызвал тысячелетнюю Войну-через-Воды. Теперь [From.GetTitledFirstName] хочет предъявить древнюю претензию Севера и объявил[GetEndA] острова Сестер и все подчиненные им земли законной частью Севера.;x
EVTtitlembs_border_dispute.102;Сокол и Волк;x
EVTDESCmbs_border_dispute.102;Мой [This.GetLordLady], новости [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] возобновить древний спор над Тремя Сестрами, который вызвал тысячелетнюю Войну-через-Воды. Теперь [From.GetTitledFirstName] хочет предъявить древнюю претензию Севера и объявил[GetEndA] острова Сестер и все подчиненные им земли законной частью Севера, и что мы, по закону, их подданные.;x
####Vale Claim on Three Sisters
mbs_reclaim_vale_sisters_dec;Предъявить претензию на Сестры;x
mbs_reclaim_vale_sisters_dec_desc;В древние времена Короли Севера пытались взять Три Сестры под свой контроль. После многих злодеяний северян, сестринцы попросили защиты у Орлиного Гнезда и поклялись в верности королевству Долины. Сейчас Север вновь стремится к контролю над Сестрами и заливом Пасть. Возможно пришлос время снова предъявить древнюю претензию на Три Сестры как неоспоримыми владениями Долины?;x
EVTtitlembs_border_dispute.2;Сокол и Волк;x
EVTDESCmbs_border_dispute.2;Вы вызываете своего мейстера к себе и приказываете ему отправить воронов всем своим вассалам. В древней Войне-через-Воды Короли Зимы сражались с Королями Долины за владение Тремя Сестрами тысячи лет, передавая контроль над островами из рук в руки множество раз. Сейчас вы неоспоримый правитель Долины и вы хотите вернуть землю, которая по праву является частью вашей державы. Да будет известно всем, что вы неоспоримый хозяин Трех Сестер.;x
EVTtitlembs_border_dispute.201;Сокол и Волк;x
EVTDESCmbs_border_dispute.201;Мой [This.GetLordLady], возмутительные новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] возобновить древний спор над Тремя Сестрами, который вызвал тысячелетнюю Войну-через-Воды. Теперь [From.GetTitledFirstName] хочет предъявить древнюю претензию Долины и объявил[GetEndA] острова Сестер и все подчиненные им земли законной частью Долины.;x
EVTtitlembs_border_dispute.202;Сокол и Волк;x
EVTDESCmbs_border_dispute.202;Мой [This.GetLordLady], новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] возобновить древний спор над Тремя Сестрами, который вызвал тысячелетнюю Войну-через-Воды. Теперь [From.GetTitledFirstName] хочет предъявить древнюю претензию Долины и объявил[GetEndA] острова Сестер и все подчиненные им земли законной частью Долины, и что мы, по закону, их подданные.;x



colonise_province_mbs_dec;Восстановить Западный Дозор у моста;x
colonise_province_mbs_dec_desc;Отправить людей в самый западный замок Ночного дозора;x

reactivate_mbs_moat_cailin_dec;Укрепить Ров Кейлин;x
reactivate_mbs_moat_cailin_dec_desc;Могущественная крепость Ров Кейлин на протяжении тысячелетий защищала Север от вторжений южан, контролируя великую дорогу, которая позволяет армиям пересекать коварные болота Перешейка. Когда-то Ров был грандиозным зрелищем, с двадцатью огромными башнями и высокой стеной из базальта, высотой с стену Винтерфелла, но теперь осталось лишь несколько башен, а стена лежит в руинах. Может быть, нам следует попытаться еще раз укрепить великий замок?;x
#######Red Hills
####Northern Claim on Red Hills
mbs_claim_redhills_dec;Претендовать на Красные холмы;x
mbs_claim_redhills_dec_desc;Речные земли уязвимы, открыты для атак с запада, а армии всегда могут выйти из Золотого Зуба, беспокоя Трезубец. Возможно, пришло время заявить права на кусок Запада, наконец укрепив границу Речных земель?;x
EVTtitlembs_redhills.200;Красные холмы;x
EVTDESCmbs_redhills.200;Ты зовешь к себе своего мейстера и приказываешь им послать воронов всем твоим вассалам вдоль и поперек. Вы идете на войну, решив овладеть богатыми долинами и высокими вершинами северных Западных Земель. Вы называете регион Красными Холмами и провозглашаете себя их королем.;x
EVTOPTA_mbs_redhills.200;Я претендую на эти земли для Севера;x
EVTtitlembs_redhills.201;Красные холмы;x
EVTDESCmbs_redhills.201;Мой [This.GetLordLady], возмутительные новости от [From.Capital.GetName]. Кажется, что [From.GetTitledFirstNameWithDynasty] решил, претендовать на господство над северной частью Западных Земель от Кастамере до Бейнфорта, от Скалы до Золотого Зуба. Теперь [From.GetTitledFirstName] провозглашает себя правителем Королевства Красных Холмов и стремится взять их себе.;x
EVTOPTA_mbs_redhills.201;Он не украдет у меня.;x
EVTtitlembs_redhills.202;Красные холмы;x
EVTDESCmbs_redhills.202;Мой [This.GetLordLady], новости от [From.Capital.GetName]. Кажется, что [From.GetTitledFirstNameWithDynasty] решил, претендовать на господство над северной частью Западных Земель от Кастамере до Бейнфорта, от Скалы до Золотого Зуба. Теперь [From.GetTitledFirstName] провозглашает себя правителем Королевства Красных Холмов и стремится взять их себе, заявляя, что мы по праву являемся его вассалом.;x
EVTOPTA_mbs_redhills.202;Интересное развитие событий...;x
EVTtitlembs_redhills.3;Красные холмы;x
EVTDESCmbs_redhills.3;Вы разгромили армии запада на их собственной земле, победили Ланнистеров и завоевали замки, необходимые для защиты границ Речных земель как части вашего нового королевства. Пришло время сформировать новое королевство, и покоренные западные лорды преклонят перед вами колено.;x
EVTOPTA_mbs_redhills.3;Мое королевство теперь в безопасти.;x
