#CODE;ENGLISH;x
yiti_road1;Расчистка джунглей;x
yiti_road2;Восстановление оснований;x
yiti_road3;Итийские дороги;x
EVTDESCyiti.001;Жемчужно-Белые Императоры выстроили великую сеть каменных дорог по всей империи, дабы облегчить торговлю и сообщение. С тех пор дороги эти поглотили джунгли. Ныне несколько местных жителей, искавших работы, предложили вырубить джунгли близ [Root.GetName] за немного золота.;x
EVTOPTAyiti.001;Great idea!;x
EVTOPTByiti.001;I have no money to waste on this foolishness.;x
EVTDESCyiti.002;По мере расчистки джунглей ты понимаешь, что эти древние дороги повреждены куда сильнее, чем думалось прежде. Простыми работниками не обойтись – придётся нанять каменщиков и инженеров для починки дорог.;x
EVTOPTAyiti.002;Let's see what we can do.;x
EVTOPTByiti.002;Did... Did you damage the roads so you could get more money?;x
EVTDESCyiti.003;Стоя перед тобой, главный инженер докладывает, что замысел увенчался успехом, и дороги вокруг [Root.GetName] восстановлены в былом величии. Купцы стекаются со всех концов царства, а твои армии выступают против разбойников в сельской местности.;x
EVTOPTyiti.003;Great news!;x
ca_yiti_wall_q_6;Передовые укрепления;x
ca_yiti_wall_q_6_desc;Эти превосходные итийские укрепления с башнями, что, кажется, вздымаются до облаков, и рвами шириной с малые реки, сломят любую армию, достаточно глупую, чтобы попытаться пойти на приступ.;x
ct_yiti_wall_q_6;Передовые укрепления;x
ct_yiti_wall_q_6_desc;Хотя итийцы и не владели искусством камнеформирования валирийских драконьих владык, сами размеры итийских городов и огромные доступные им средства делают осады нецелесообразными, если не вовсе невозможными.;x
ca_culture_yiti_elephant_1;Торговец экзотическими животными;x
ca_culture_yiti_elephant_1_desc;К великому огорчению тех, кто желал бы сохранить приручённых зверей для битвы, слоны и иные экзотические животные находят применение и в мирной торговле.;x
ca_culture_yiti_elephant_2;Рынок экзотических товаров;x
ct_culture_yiti_elephant_2;Рынок экзотических товаров;x
ca_culture_yiti_elephant_2_desc;Экзотические животные и товары, стекающиеся со всех концов царства, продолжают привлекать купцов и торговцев изо всех уголков известного мира.;x
ct_culture_yiti_elephant_1;Торговец экзотическими животными;x
ct_culture_yiti_elephant_2;Рынок экзотических товаров;x
ca_culture_yiti_crossbow_1;Стрельбище для арбалетчиков;x
ca_culture_yiti_crossbow_1_desc;Небольшое стрельбище, где итийские арбалетчики оттачивают своё мастерство.;x
ca_culture_yiti_crossbow_2;Мастерская арбалетов;x
ca_culture_yiti_crossbow_2_desc;Горстка ремесленников изготавливает арбалеты по мере надобности для растущего арбалетного отряда в итийском войске.;x
ca_culture_yiti_crossbow_3;Арбалетная мастерская;x
ca_culture_yiti_crossbow_3_desc;Растущий спрос итийского войска на арбалеты лучшего качества ведёт к развитию более упорядоченных способов производства.;x
ca_culture_yiti_crossbow_4;Арбалетная мануфактура;x
ca_culture_yiti_crossbow_4_desc;Крупные мануфактуры производят единообразные арбалеты и болты с невиданной скоростью, дабы снаряжать большие отряды обученных арбалетчиков на службе И-Ти.;x
ct_culture_yiti_crossbow_1;Стрельбище для арбалетчиков;x
ct_culture_yiti_crossbow_2;Мастерская арбалетов;x
ct_culture_yiti_crossbow_3;Арбалетная мастерская;x
ct_culture_yiti_crossbow_4;Арбалетная мануфактура;x
ca_culture_yiti_fire_powder_1;Изготовитель бомб;x
ca_culture_yiti_fire_powder_1_desc;Итийские алхимики открыли род соли, что в порошкообразном виде при поджигании обладает огромной взрывной силой. Хотя она и уступает драконьему огню или даже дикому пламени, относительная устойчивость порошка позволяет хранить его в малых глиняных сосудах, разбивающихся при ударе, и метать во врага с сокрушительным действием.;x
ca_culture_yiti_fire_powder_2;Мастерская огненных копий;x
ca_culture_yiti_fire_powder_2_desc;Дальнейшие изыскания в ратном применении сего «огненного порошка» привели к тому, что некоторых итийских воинов снабдили «огненными копьями» — малыми пиротехническими устройствами на конце древкового оружия, кои поджигаются, дабы объять врага пламенем при атаке и достичь ошеломляющего преимущества в начале схватки.;x
ca_culture_yiti_fire_powder_3;Осадные мастерские огненного порошка;x
ca_culture_yiti_fire_powder_3_desc;Дальнейшие опыты с огненным порошком привели к его соединению с полевой артиллерией, включая бомбомётные тяговые требушеты, многострельные баллисты с разрывными болтами и деревянные повозки, способные быстро выпускать сотню-другую стрел одну за другой для подавляющего огня.;x
ca_culture_yiti_fire_powder_4;Арсенал огненного порошка;x
ca_culture_yiti_fire_powder_4_desc;Гонка за созданием всё большего и мощнейшего оружия, вместе с растущим признанием важности огненного порошка в итийском военном деле, привела к развитию протопушек, что используют взрывную силу огненного порошка для метания снарядов, способных сокрушить стены даже самых могучих твердынь.;x
ct_culture_yiti_fire_powder_1;Изготовитель бомб;x
ct_culture_yiti_fire_powder_2;Мастерская огненных копий;x
ct_culture_yiti_fire_powder_3;Осадные мастерские огненного порошка;x
ct_culture_yiti_fire_powder_4;Арсенал огненного порошка;x
ca_shengan_castle;Замок Шэнъань;x
ca_shengan_castle_desc;Вздымаясь на холме над болотами, что некогда были Ссыхающимся морем, замок Шэнъань может похвастаться высокими стенами и прекрасно изукрашенными зданиями. Его очертания видны далеко из глубины степных земель и служат суровым предостережением любому кочевому выскочке, что дерзнёт бросить вызов мощи И-Ти.;x
ca_wudong_castle;Замок Удун;x
ca_wudong_castle_desc;Построенный над подземным горячим источником, замок Удун и его окрестности наслаждаются относительно мягкими зимами даже в самые лютые холода. Это крупнейший замок Юнчуня, и правящий им лорд должен всегда быть настороже и готов откликнуться на любой призыв о помощи от Пяти Фортов.;x
ca_furong_castle;Замок Фужун;x
ca_furong_castle_desc;Стратегическое расположение Торгового Города побудило его лордов строить замок Фужун, руководствуясь прежде всего практичностью. Его гарнизоны не только обучены быстро отражать вторжения хиркунийцев или Джогос Нхай, но в замке также служат констебли, взимающие налоги с купцов, странствующих по Великой Песчаной Дороге.;x
ca_changlu_castle;Замок Чанлу;x
ca_changlu_castle_desc;Замок Чанлу стоит на холме у северо-западной окраины в остальном довольно равнинной местности. Хотя его оборонительные возможности не особо примечательны, замок Чанлу надзирает за важными торговыми путями, ведущими из И-Ти по суше в Хиркун и далее.;x
ca_wangtian_castle;Замок Вантянь;x
ca_wangtian_castle_desc;Замку Вантянь дарованы обширные плодородные пахотные земли к западу и прекрасные леса, дающие высококачественную древесину, к северо-востоку. Хотя его центральное положение ставит его прямо в гущу каждой великой войны, богатство природными ресурсами позволяет довольно быстро восстанавливаться после войны.;x
ca_mingqiu_castle;Замок Минцю;x
ca_mingqiu_castle_desc;Замок Минцю расположен на вершине прибрежного утёса неподалёку от гаваней Цзиньци. Будучи крупнейшим и важнейшим замком восточного И-Ти, его воины подавили больше набегов Теневиков и вторжений асшайцев, чем имперский летописец мог бы разумно сосчитать.;x
ca_anyang_castle;Внутренний Имперский Город;x
ca_anyang_castle_desc;Внутренний Имперский Город – это дворцовый комплекс, содержащий сотни тысяч зданий в традиционном итийском архитектурном стиле. Он не только служит административным и церемониальным центром И-Ти, но и сам по себе является великой крепостью с множеством оборонительных сооружений, что одолеют любое войско в известном мире.;x
