#CODE;RUSSIAN;x
ca_asoiaf_slavepit_1;Небольшой лагерь рабов;x
ca_asoiaf_slavepit_2;Средний лагерь рабов;x
ca_asoiaf_slavepit_3;Большой лагерь рабов;x
ca_asoiaf_slavepit_4;Крупный лагерь рабов;x
ca_asoiaf_slavepit_5;Огромный лагерь рабов;x
ct_asoiaf_slavepit_1;Небольшой лагерь рабов;x
ct_asoiaf_slavepit_2;Средний лагерь рабов;x
ct_asoiaf_slavepit_3;Большой лагерь рабов;x
ct_asoiaf_slavepit_4;Крупный лагерь рабов;x
ct_asoiaf_slavepit_5;Огромный лагерь рабов;x
tp_asoiaf_slavepit_1;Небольшой лагерь рабов;x
tp_asoiaf_slavepit_2;Средний лагерь рабов;x
tp_asoiaf_slavepit_3;Большой лагерь рабов;x
tp_asoiaf_slavepit_4;Крупный лагерь рабов;x
tp_asoiaf_slavepit_5;Огромный лагерь рабов;x
fp_asoiaf_slavepit_1;Небольшой лагерь рабов;x
fp_asoiaf_slavepit_2;Средний лагерь рабов;x
fp_asoiaf_slavepit_3;Большой лагерь рабов;x
fp_asoiaf_slavepit_4;Крупный лагерь рабов;x
fp_asoiaf_slavepit_5;Огромный лагерь рабов;x
no_asoiaf_slavepit_1;Небольшой лагерь рабов;x
no_asoiaf_slavepit_2;Средний лагерь рабов;x
no_asoiaf_slavepit_3;Большой лагерь рабов;x
no_asoiaf_slavepit_4;Крупный лагерь рабов;x
no_asoiaf_slavepit_5;Огромный лагерь рабов;x
slave_modifier_1;Маргинальный рабский труд;x
slave_modifier_1_desc;Небольшое количество рабов дополняют труд рабочих этой провинции.;x
slave_modifier_2;Ограниченное применение рабов;x
slave_modifier_2_desc;Рабов по-прежнему значительно меньше, нежели свободных рабочих.;x
slave_modifier_3;Умеренный рабский труд;x
slave_modifier_3_desc;Эта провинция имеет достаточно рабов, чтобы обеспечить замену свободным рабочим.;x
slave_modifier_4;Обширный рабский труд;x
slave_modifier_4_desc;Эта провинция имеет большое количество невольничьих лагерей и практически полностью обеспечивается рабами.;x
slave_modifier_5;Рабовладельческая экономика;x
slave_modifier_5_desc;Десятки тысяч рабов проживают в лагерях этой провинции, заменяя труд свободных рабочих и крестьян.;x
slave_modifier_1_fp;Несущественный рабский труд;x
