title_court_singer_mbs;Придворный бард;x
title_court_singer_mbs_desc;Хороший певец, умелый в обращении с лютней и голосом, готовый играть на пирах и по другим особым случаям;x
title_kennelmaster_mbs;Псарь;x
title_kennelmaster_mbs_desc;Поставленный тренировать и заботиться о собаках замка, псарь необходим в любой охоте;x
title_stablemaster_mbs;Мастер конюшен;x
title_stablemaster_mbs_desc;Отвечая за разведение, обучение и уход за лошадьми, мастер конюшен надзирает за работой конюхов и слуг конюшни, даже если знатный мастер над лошадьми обладает номинальной властью.;x
title_falconer_mbs;Мастер-сокольничий;x
title_falconer_mbs_desc;Отвечая за уход и обучение ястребов, соколов и других ловчих птиц, мастер-сокольничий играет важную роль в охоте и престиже двора.;x
title_cook_mbs;Повар;x
title_cook_mbs_desc;Отвечая за приготовление как ежедневных блюд, так и грандиозных пиров, повар следит за тем, чтобы двор был сыт и во времена изобилия, и во времена нужды.;x
title_brewer_mbs;Мастер-пивовар;x
title_brewer_mbs_desc;Надзирая за пивоварней, мастер-пивовар производит эль и слабое пиво для двора, постоянный запас которых позволяет поддерживать довольство и простонародья, и знати.;x
title_shipwright_mbs;Мастер-корабел;x
title_shipwright_mbs_desc;Отвечая за надзор над доками и верфями, мастер-корабел обеспечивает строительство и ремонт судов для торговли и войны.;x
title_gaoler_mbs;Тюремщик;x
title_gaoler_mbs_desc;Смотритель темниц и их узников, тюремщик выполняет мрачные обязанности, связанные с заключением, допросами и наказанием.;x
title_wetnurse_mbs;Кормилица;x
title_wetnurse_mbs_desc;Обязанная заботиться о чужих знатных детях и кормить их грудью, кормилица часто является важной частью любого двора.;x
title_hedgemage_mbs;Бродячий маг;x
title_hedgemage_mbs_desc;Бродячий маг, бродячий колдун или лесная ведьма — это один из простолюдинов, практикующий искусство трав, заговоров, предзнаменований, снов и забытых знаний. Некоторые из них немногим больше умелых целителей и сказителей, тогда как другие, как говорят, обладают сверхъестественными дарами, не поддающимися простому объяснению.;x

plot_replace_regent_cb_mbs;Захватить регенство;x
CB_NAME_REPLACE_REGENT_MBS;Захватить регенство;x
WAR_NAME_REPLACE_REGENT_MBS;$ATTACKER$ $ORDER$Война за регенство;x

title_defender_of_dispossessed;Защитник Обездоленных;x
title_defender_of_dispossessed_desc;Защитник Обездоленных — древний титул Дома Мандерли, увековечивающий их изгнание из Предела.;x
title_beacon_of_south;Светоч Юга;x
title_beacon_of_south_desc;Светоч Юга — это просторский титул, он отражает долг лордов Старого города по поддержанию маяка на вершине Высокой Башни.;x
title_lord_of_port;Лорд Гавани;x
title_lord_of_port_desc;Лорд Гавани это просторский титул, он отражает долг лордов Старого города по защите городского порта.;x
title_protector_of_citadel;Защитник Цитадели;x
title_protector_of_citadel_desc;Защитник Цитадели — просторский титул. Цитадель, центр ордена мейстеров, была основана на участке земли подаренном королем Урригоном Хайтауэром, и с тех пор лорды Старого города покровительствуют ордену.;x
title_son_of_sea_wind;Сын Морского Ветра;x
title_son_of_sea_wind_desc;Сын Морского Ветра — это титул Железнорождённых, подчеркивающий связь между теми, кто возглавляет Железнорождённых, и морем.;x
title_king_of_winter;Король Зимы;x
title_king_of_winter_desc;По традиции Король Севера также известен как Король Зимы, древний титул, восходящий к Эпохе Героев.;x
title_stark_in_winterfell;Старк в Винтерфелле;x
title_stark_in_winterfell_desc;Северная традиция гласит, что в Винтерфелле всегда должен быть Старк, это не обязательно должен быть Лорд Дома, но он должен быть, чтобы Севером можно было справедливо управлять.;x

title_warden_southern_marches;Страж Южных Марок;x
title_warden_southern_marches_desc;Хранитель Южных Марок — северный титул, указывающий на военное превосходство над другими местными лордами в защите Севера от угроз из-под Перешейка.;x
title_keeper_gatesofmoon;Хранитель Лунных Врат;x
title_keeper_gatesofmoon_desc;Хранитель Лунных Врат контролирует жизненно важный стратегический замок Лунные Врата, охраняющий предгорья Копья Гиганта.;x

title_knight_of_the_gate;Рыцарь Ворот;x
title_knight_of_the_gate_desc;Рыцарь Ворот командует Кровавыми Вратами, жизненно важной крепостью в Лунных Горах, охраняющим вход в Долину. Рыцарь Врат традиционно задаёт вопрос: «Кто держит путь через Кровавые Врата?» всем, кто пройдёт.;x

title_defender_marches;Защитник Марок;x
title_defender_marches_desc;Защитник Марок — просторский титул, который указывает на жизненно важную роль, которую правители Предела играют в защите от разбойников из Дорнийских Марок.;x

title_warden_stone_way;Хранитель Каменного Пути;x
title_warden_stone_way_desc;Хранитель Каменного Пути — дорнийский титул, указывающий на военное превосходство над другими местными лордами в защите Каменного Пути, более известного как Костяной Путь.;x
title_warden_princes_pass;Хранитель Принцева Перевала;x
title_warden_princes_pass_desc;Хранитель Перевала Принца — дорнийский титул, указывающий на военное превосходство над другими местными лордами в защите Широкого Пути, более известного как Принцев Перевал.;x
title_warden_white_knife;Хранитель Белого Ножа;x
title_warden_white_knife_desc;Хранитель Белого Ножа — северный титул, он указывает на военное старшинство над другими местными лордами при защите устья Белого Ножа в Укусе.;x

title_keeper_of_the_night_lamp;Хранитель Ночного Светоча;x
title_keeper_of_the_night_lamp_desc;Хранитель Ночного Светоча обозначает роль Лордов Систертона в их ответственности за поддержание и защиту Ночного Светоча, маяка, расположенного в Систертоне, городе в Милая Сестра.;x
title_shield_of_lannisport;Щит Ланниспорта;x
title_shield_of_lannisport_desc;Щит Ланниспорта — титул, которым награждается защитник города Ланниспорт в Западных землях, традиционно глава дома Ланнистеров.;x

GREENSEER_MBS;Зеленовидец;x
GREENSEER_MBS_FOA;Зеленовидец;x

SPARROW_MBS;Капитан воробьев;x
SPARROW_MBS_FOA;Капитан воробьев;x

ELDER_BROTHER_MBS;Старший брат;x
ELDER_BROTHER_MBS_FOA;Старший брат;x

CASTELLAN_MBS;Кастелян;x
CASTELLAN_MBS_FOA;Кастелян;x
CASTELLAN_MBS_female;Кастелян;x
CASTELLAN_MBS_FOA_female;Кастелян;x
