#CODE;RUSSIAN;x
valyrian_dagger;Кинжал из валирийской стали;x
valyrian_dagger_desc;Простой кинжал, выкованный из валирийской стали;x
bloodthirst;Кровожадный;x
bloodthirst_desc;Говорят, у людей пересыхает горло от одного вида этого валирийского кинжала, так как его изогнутый клинок и рукоять непосредственно предназначены для чистого, легкого перерезания глоток. В рукоять из драконьей кости и черного мрамора инкрустированы четыре маленьких рубина, которые не очень отвлекают от смертоносности кинжала, но делают его отличным предметом роскоши;x
dragonglass_knife;Нож из драконьего стекла;x
dragonglass_knife_desc;Нож, сделанный из куска драконьего стекла.;x
iceshard;Ледяной Осколок;x
iceshard_desc;У этого кинжала тонкий, обоюдоострый клинок из валирийской стали, который закреплен на богатой рукояти из блестящего серебра. На рукояти имеется крупный сапфир заостренной формы, напоминающий ледяной осколок, от которого кинжал и получил свое имя;x
littlefingers_dagger;Кошачья Лапа;x
littlefingers_dagger_desc;Великолепный валирийский кинжал. Кошачья Лапа печально известна на Севере: ей пытались убить Брандона Старка;x
nightkiss;Ночной Поцелуй;x
nightkiss_desc;Волнистый клинок из валирийской стали, изящно украшенный бирюзовыми камнями и серебряными узорами. Как ни странно, последнее что чувствует жертва кинжала это сладкий аромат влажного клинка - прямо перед тем провалиться в вечный сон без боли;x
pride_of_qohor;Гордость Квохора;x
pride_of_qohor_desc;Церемониальный кинжал, сделанный из чистого золота, специально для ритуальных жертв Черному Козлу Квохора, фигура которого вдохновила на стиль рукояти этого клинка;x
rosethorn;Шип Розы;x
rosethorn_desc;По сути, кроме клинка из валирийской стали, в этом кинжале нет ничего особенного. Но его рукоять, сделанная из лучшего златосерда с Летних Островов и украшенная орнаментом лоз из красного золота переносят человека в сказку;x
scalpel;Скальпель;x
scalpel_desc;Полностью оснащенный, с зубчатой кромкой и изогнутым лезвием, клинок это валирийского кинжала идеально подходит для свежевания. Рукоять, сделанная из человеческой кости, не очень искусна, но зачем нужны узоры инструменту для пыток?;x
silencer;Глушитель;x
silencer_desc;Рукоять этого кинжала сделана полностью из драконьей кости, а его клинок, из лучшей валирийской стали, разделен надвое, предназначенный больше для колющих, чем для режущих ударов;x
sparrow_and_skylark;Воробей и Жаворонок;x
sparrow_and_skylark_desc;Эти валирийские кинжалы-близнецы направлены на скрытность и ловкость. Обычно их держат клинками назад, что позволяет их владельцу бить и резать, и поскольку рукояти облегают руки, их владельца сложно обезоружить. Деревянные рукояти с золотыми вставками вырезаны в форме невинно выглядящих певчих птиц;x
tigerclaw;Тигриный Коготь;x
tigerclaw_desc;Рукоять этого прекрасного валирийского кинжала в форме ревущего тигра сделана из чистого нефрита мастерами северного Лэнга;x
viper_fang;Змеиный Клык;x
viper_fang_desc;Этот валирийский кинжал в простом стиле имеет рукоять из драконьей кости и крупный пурпурный чароит в навершии. Покрыт ядом многих змей, коих не сосчитать, и даже самый незначительный порез этого необычайно темного клинка превращается в мучительный смертельный приговор;x
reforge_dagger;Перековать валирийский кинжал;x
EVTOPT900000;Не перековывать этот кинжал;x
EVTOPTA900000;Кровожадный;x
EVTOPTB900000;Ледяной Осколок;x
EVTOPTC900000;Больше...;x
EVTOPT900001;Ночной Поцелуй;x
EVTOPTA900001;Гордость Квохора;x
EVTOPTB900001;Шип Розы;x
EVTOPT900002;Скальпель;x
EVTOPTA900002;Глушитель;x
EVTOPTB900002;Воробей и Жаворонок;x
EVTOPT900003;Тигриный Коготь;x
EVTOPTA900003;Змеиный Клык;x
EVTDESC900000;Змеиный Клык;x
