#CODE;RUSSIAN;x
real_insult;Оскорблённ[_ый];x
real_gift;Отправленный подарок;x
opinion_protected_me;Защищал[_] меня от врага;x
interaction_lover;Любовни[_к__];x
EVTDESC70034;[From.GetTitle] [From.GetFirstNameWithDynasty] был[From.GetEndA] коронован[From.GetEndA] как победитель[From.GetEndNitsa] моего турнира.;x
EVTDESCinteraction.2;Взаимодействие с основной целью (проигнорировать и нажать ок);x
EVTDESCinteraction.3;Меню взаимодействия. Выберите категорию.;x
EVTDESCinteraction.4;Персональное меню;x
EVTDESCinteraction.6;Меню действий;x
EVTDESCinteraction.23;[From.GetTitle] [From.GetFirstNameWithDynasty] отправил[From.GetEndA] вам подарок;x
EVTDESCINSULT;[Root.GetTitle] [Root.GetFirstName], я презираю вас. Вы [GetFromRootInsult] идиот[Root.GetEndKa], и один ваш вид отталкивает меня.\n\nПодпись,\n[FromFrom.GetTitle] [FromFrom.GetFirstName] из Дома [FromFrom.GetOnlyDynastyName];x
EVTOPTAinteraction.2;Ok;x
EVTOPTAinteraction.3;Персональное;x
EVTOPTDinteraction.3;Действие;x
NEVERMIND;Не берите в голову;x
EVTOPTAinteraction.4;Отправить подарок;x
insult_character;Оскорбить;x
insult_character_desc;Отправить оскорбительное письмо персонажу [Root.GetTitle] [Root.GetFirstNameWithDynasty] - это понизит [Root.GetHerHis] отношение к вам.;x
EVTOPTAinteraction.23;Спасибо!;x
EVTOPTAinteraction.24;Как [GetRootFromInsult] смеет так обращаться ко мне?;x
EVTOPTB453;Это благородный поступок?;x
visit_chambers;Посетить камеру;x
visit_chambers_desc;Посетить камеру, где сидит [Root.GetTitledFirstNameWithDynasty]...;x
TOOLTIPVISITCHAMBERCHILD;[Root.GetFirstName] НЕ является дедом, родителем, ребенком или внуком персонажа [From.GetTitle] [From.GetFirstName]\n;x
TOOLTIPVISITCHAMBERDIVINEBLOOD;Династия [From.GetOnlyDynastyName] практикует кровосмешение\n;x
TOOLTIPSEDUCELOCATION;[Root.GetFirstName] находится в области [From.Location.GetName], И [From.Location.GetName] владеет титулом [From.GetFirstName] или [Root.GetFirstName] ИЛИ [From.GetFirstName] НЕ командует\n;x
TOOLTIPVISITCOMMANDLOCATION;[From.Location.GetName] владеет титулом [From.GetFirstName] или [Root.GetFirstName]\n;x
TOOLTIPVISITCHAMBERORIENTATION;[Root.GetFirstName] желателен для сексуальной ориентации персонажа [From.GetFirstName]\n;x
