#CODE;RUSSIAN;x
stark;Родословная Старков;x
stark_desc;Брандон Строитель построил Стену, которая защищает мир от тех, кто за ней обитает. Фамильный меч Старков, Лед, передавался в доме тысячи лет;x
lannister;Родословная Ланнистеров;x
lannister_desc;Ланн Умный хитростью отнял Утес Кастерли у Кастерли. Ланнистеры один из богатейших домов Вестероса благодаря золотым рудникам под их контролем;x
arryn;Родословная Арренов;x
arryn_desc;Сир Артис Аррен сразил Короля-Грифона и стал королем Горы и Долины. Аррены правят с вершины Орлиного Гнезда, замка, считающегося неприступным;x
tully;Родословная Талли;x
tully_desc;Лорд Эдмин Талли встал на сторону Эйгона Завоевателя против Железного Короля Харрена Черного и был награжден лордством над Речными Землями;x
tyrell;Родословная Тиреллов;x
tyrell_desc;Лорд Харлан Тирелл получил Хайгарден и власть над Простором после смерти короля Мерна IX Гарднера. Этот дом возводит свой род к Гарту Зеленорукому;x
martell;Родословная Нимерос-Мартеллов;x
martell_desc;Принц Морс Мартелл женился на Нимерии, королеве-воине ройнаров и объединил Дорн под знаменем дома Нимерос-Мартелл;x
targaryen;Родословная Таргариенов;x
targaryen_desc;Дом Таргариен - благородная семья валирийского происхождения. Они были единственной семьей драконьих владык, кто пережил Рок Валирии;x
greyjoy;Родословная Грейджоев;x
greyjoy_desc;Викон Грейджой был избран править Железными Островами после уничтожения дома Хоаров. Их дом возводит свой род к Серому Королю;x
baratheon;Родословная Баратеонов;x
baratheon_desc;Орис Баратеон, по слухам, брат-бастард короля Эйгона Завоевателя, сразил последнего Штормового короля Аргилака Дюррандона, взяв себе его герб, девиз и дочь;x
garth_greenhand;Родословная Гарта Зеленорукого;x
garth_greenhand_desc;Гарт Зеленорукий был первым правителем Простора, и носил корону из лоз и цветов, заставляя землю цвести;x
hoare;Родословная Хоаров;x
hoare_desc;Известные как черная линия, или черная кровь, Хоары стали королями Железных Островов после того, как андальские поселенцы положили конец правлению дома Грейайронов;x
durrandon;Родословная Дюррандонов;x
durrandon_desc;Штормовой Король Дюрран построил Штормовой Предел и завоевал любовь Эленеи, дочери бога моря и богини ветра;x
bloodline_divine;Божественная родословная;x
bloodline_divine_desc;Этот человек - потомок того, кто взял на себя роль 'Божественного', легенды до конца веков;x
blood_of_the_dragon;Драконья кровь;x
blood_of_the_dragon_desc;Родословная драконьих владык Старой Валирии;x
northman_bl;[Root.GetBloodlineName];x
northman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов на Севере;x
valeman_bl;[Root.GetBloodlineName];x
valeman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Долине;x
riverlander_bl;[Root.GetBloodlineName];x
riverlander_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Речных землях;x
reachman_bl;[Root.GetBloodlineName];x
reachman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Просторе;x
westerman_bl;[Root.GetBloodlineName];x
westerman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Западных землях;x
dornish_bl;[Root.GetBloodlineName];x
dornish_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Дорне;x
stormlander_bl;[Root.GetBloodlineName];x
stormlander_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Штормовых Землях;x
ironborn_bl;[Root.GetBloodlineName];x
ironborn_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов на Желеных Островах;x
blackfyre_bl;Родословная Блэкфайров;x
blackfyre_bl_desc;Первый из Великих Бастардов Эйгона IV, Деймон Уотерс, Таргариен с обеих сторон, получил меч Черное Пламя и взял его имя себе, основав новый дом;x
GetBloodlineName_default;[This.GetOnlyDynastyName] Родословная;x
GetBloodlineName_imperial;Имперская Родословная [This.GetOnlyDynastyName];x
GetBloodlineName_cadet;[bloodline_title.GetAdjective] Родословная [This.GetOnlyDynastyName];x
e_iron_throne_bl;[Root.GetBloodlineName];x
e_iron_throne_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Семи Королевствах;x
e_new_valyria_bl;[Root.GetBloodlineName];x
e_new_valyria_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в землях Валирийского Фригольда;x
e_summer_sea_bl;[Root.GetBloodlineName];x
e_summer_sea_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Летнем Море;x
e_ghiscar_bl;[Root.GetBloodlineName];x
e_ghiscar_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Гискарской империи;x
e_yi_ti_bl;[Root.GetBloodlineName];x
e_yi_ti_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Золотой Империи И-Ти;x
old_first_man_bl;[Root.GetBloodlineName];x
old_first_man_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов среди Первых людей;x
sisterman_bl;[Root.GetBloodlineName];x
sisterman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов на Сестрах;x
old_andal_bl;[Root.GetBloodlineName];x
old_andal_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Андалосе;x
hill_clansman_bl;[Root.GetBloodlineName];x
hill_clansman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов среди горных кланов;x
crannogman_bl;[Root.GetBloodlineName];x
crannogman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов на Перешейке;x
crackclawmen_bl;[Root.GetBloodlineName];x
crackclawmen_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов на Клешне;x
valyrian_bl;[Root.GetBloodlineName];x
valyrian_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Валирии;x
pentosi_bl;[Root.GetBloodlineName];x
pentosi_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Пентосе;x
braavosi_bl;[Root.GetBloodlineName];x
braavosi_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Браавосе;x
lysene_bl;[Root.GetBloodlineName];x
lysene_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Лисе;x
qohorik_bl;[Root.GetBloodlineName];x
qohorik_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Квохоре;x
norvosi_bl;[Root.GetBloodlineName];x
norvosi_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Норвосе;x
myrman_bl;[Root.GetBloodlineName];x
myrman_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Мире;x
tyroshi_bl;[Root.GetBloodlineName];x
tyroshi_bl_desc;Дом [This.GetOnlyDynastyName] один из самых уважаемых родов в Тироше;x
volantene_bl;[Root.GetBloodlineName];x
