#CODE;RUSSIAN;x
EVTDESCcadet.1;Как вы назовёте новый младший дом?;x
EVTOPTAcadet.1;Дом Уайтвульф;x
EVTOPTBcadet.1;Дом Голдфанг;x
EVTOPTCcadet.1;Дом Дредвульф;x
EVTOPTDcadet.1;Дом Винтерхолд;x
EVTOPTEcadet.1;Дом Старк;x
EVTOPTAcadet.2;Дом Редвирм;x
EVTOPTBcadet.2;Дом Трудрейк;x
EVTOPTCcadet.2;Дом Файрблад;x
EVTOPTDcadet.2;Дом Голдфайр;x
EVTOPTAcadet.3;Дом Сильвермейн;x
EVTOPTBcadet.3;Дом Редкло;x
EVTOPTCcadet.3;Дом Роринг;x
EVTOPTDcadet.3;Дом Лайонфорд;x
EVTOPTAcadet.4;Дом Дарксан;x
EVTOPTBcadet.4;Дом Санвайпер;x
EVTOPTCcadet.4;Дом Блэкеддер;x
EVTOPTDcadet.4;Дом Снейкспир;x
EVTOPTAcadet.5;Дом Редривер;x
EVTOPTBcadet.5;Дом Даркфиш;x
EVTOPTCcadet.5;Дом Голдфиш;x
EVTOPTDcadet.5;Дом Стилтраут;x
EVTOPTAcadet.6;Дом Редвинг;x
EVTOPTBcadet.6;Дом Кестрел;x
EVTOPTCcadet.6;Дом Блуберд;x
EVTOPTDcadet.6;Дом Скайворден;x
EVTOPTAcadet.7;Дом Стэгборн;x
EVTOPTBcadet.7;Дом Штормхарт;x
EVTOPTCcadet.7;Дом Дюрранд;x
EVTOPTDcadet.7;Дом Дир;x
EVTOPTAcadet.8;Дом Бладроуз;x
EVTOPTBcadet.8;Дом Блэкроуз;x
EVTOPTCcadet.8;Дом Смоллроуз;x
EVTOPTDcadet.8;Дом Гринроуз;x
EVTOPTAcadet.9;Дом Сильверинк;x
EVTOPTBcadet.9;Дом Реджой;x
EVTOPTCcadet.9;Дом Айронкракен;x
EVTOPTDcadet.9;Дом Хардман;x
EVTOPTAcadet.13;Дом Твинчайлд;x
EVTOPTBcadet.13;Дом Голдкросс;x
EVTOPTCcadet.13;Дом Толлбридж;x
EVTOPTDcadet.13;Дом Нортгейт;x
EVTDESCcadet.10;Связь вашей младшей ветви дома со старшей - крепка. Кровь людская - не водица.;x
EVTOPTAcadet.10;Ок;x
cadet_bastard;Дать начало младшей ветви дома;x
cadet_bastard_desc;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] станет главой новой династии;x
EVTOPTAcadet.11;Дом Норт;x
EVTOPTBcadet.11;Дом Саус;x
EVTOPTCcadet.11;Дом Вест;x
EVTOPTDcadet.11;Дом Ист;x
legitimise_not_bastard_cadet;Признать младшую ветвь;x
legitimise_not_bastard_cadet;Одному из ваших родственников была дарована земля и право основать младшую ветвь вашего дома и править от своего имени. А если вдруг дому [From.GetOnlyDynastyName] понадобится наследник - они будут первыми в очереди...;x
EVT_DESC_cadet_15;[Root.GetTitledFirstName], настоящим я дарую Вам честь, признав Ваш младший дом [Root.GetOnlyDynastyName] полноправными и легитимными членами дома [From.GetOnlyDynastyName]. При этом вы и ваша семья отныне признаны законными наследниками моего дома.\n\nВаш\n[From.GetTitledFirstNameoftheHouse],;x
EVT_OPTA_cadet_15;Мы едины!;x
TOOLTIPlegitimise_cadet;Все члены младшего дома [Root.GetOnlyDynastyName] будут узаконены и станут полноправными членами дома [From.GetOnlyDynastyName]\n;x
TOOLTIPlegitimise_cadetB;Все члены младшего дома [Root.GetOnlyDynastyName] будут узаконены и станут полноправными членами дома [This.GetOnlyDynastyName]\n;x
legitimise_cadet;Признать младший дом;x
legitimise_cadet_desc; ;x
legitimise_cadet_named;Признать дом [Root.GetOnlyDynastyName];x
TOOLTIPlegitimise_cadetA;[From.GetTitledFirstName] - последний живой член дома [From.GetOnlyDynastyName], который может наследовать титулы\n;x
EVT_DESC_cadet_17;Всем добрым лордам королевства, настоящим я дарую своим родственникам честь, признав младший дом [legitmised_cadet.GetOnlyDynastyName] полноправными и легитимными членами дома [cadet_legitimiser.GetOnlyDynastyName]. При этом, [legitmised_cadet.GetSheHe] и [legitmised_cadet.GetHerHis] родственники признаны законными наследниками моего дома .\n\nПодпись\n[cadet_legitimiser.GetTitledFirstNameoftheHouse];x
EVTOPTAcadet.20;Дом Стейн;x
EVTOPTBcadet.20;Дом Бредшоу;x
EVTOPTCcadet.20;Дом Уилкоу;x
EVTOPTDcadet.20;Дом Росби;x
EVTOPTAcadet.21;Дом Телволл;x
EVTOPTBcadet.21;Дом Стопфорд;x
EVTOPTCcadet.21;Дом Бейлл;x
EVTOPTDcadet.21;Дом Риккер;x
EVTOPTAcadet.22;Дом Сейбл;x
EVTOPTBcadet.22;Дом Бринкдейл;x
EVTOPTCcadet.22;Дом Моргенстер;x
EVTOPTDcadet.22;Дом Торн;x
EVTOPTAcadet.23;Дом Эллестон;x
EVTOPTBcadet.23;Дом Линдби;x
EVTOPTCcadet.23;Дом Шоу;x
EVTOPTDcadet.23;Дом Байуотер;x
EVTOPTAcadet.24;Дом Дромгар;x
EVTOPTBcadet.24;Дом Каладрион;x
EVTOPTCcadet.24;Дом Эмбартис;x
EVTOPTAcadet.25;Дом Синдориен;x
EVTOPTBcadet.25;Дом Хардшелл;x
EVTOPTCcadet.25;Дом Анготис;x
EVTOPTAcadet.26;Дом Элдрикпорт;x
EVTOPTBcadet.26;Дом Итон;x
EVTOPTCcadet.26;Дом Гойшем;x
EVTOPTAcadet.27;Дом Уайтстафф;x
EVTOPTBcadet.27;Дом Рэйвенскар;x
EVTOPTCcadet.27;Дом Брейкбоу;x
EVTOPTAcadet.28;Дом Рэндл;x
EVTOPTBcadet.28;Дом Нолл;x
EVTOPTCcadet.28;Дом Хенгстон;x
EVTOPTAcadet.29;Дом Хардкасл;x
EVTOPTBcadet.29;Дом Эрневолд;x
EVTOPTCcadet.29;Дом Алгармонт;x
EVTOPTAcadet.30;Дом Янг;x
EVTOPTBcadet.30;Дом Баннерс;x
EVTOPTCcadet.30;Дом Мэйденфилд;x
EVTOPTAcadet.31;Дом Ламбард;x
EVTOPTBcadet.31;Дом Горленд;x
EVTOPTCcadet.31;Дом Вил;x
EVTOPTAcadet.32;Дом Стоунхельм;x
EVTOPTBcadet.32;Дом Олортон;x
EVTOPTCcadet.32;Дом Марчерсфорд;x
EVTOPTAcadet.33;Дом Марбери;x
EVTOPTBcadet.33;Дом Гейтс;x
EVTOPTCcadet.33;Дом Паллатер;x
EVTOPTAcadet.34;Дом Тезерстоун;x
EVTOPTBcadet.34;Дом Рамболд;x
EVTOPTCcadet.34;Дом Дампорт;x
EVTOPTAcadet.35;Дом Буллен;x
EVTOPTBcadet.35;Дом Вайерр;x
EVTOPTCcadet.35;Дом Кемберлинг;x
EVTOPTAcadet.36;Дом Истинг;x
EVTOPTBcadet.36;Дом Коррунд;x
EVTOPTCcadet.36;Дом Гарриот;x
EVTOPTDcadet.36;Дом Тарт;x
EVTOPTAcadet.37;Дом Моталл;x
EVTOPTBcadet.37;Дом Вейтон;x
EVTOPTCcadet.37;Дом Солбах;x
EVTOPTDcadet.37;Дом Тойн;x
EVTOPTAcadet.38;Дом Казанмар;x
EVTOPTBcadet.38;Дом Гаргласс;x
EVTOPTCcadet.38;Дом Анвил;x
EVTOPTAcadet.39;Дом Серенмонт;x
EVTOPTBcadet.39;Дом Торендейн;x
EVTOPTCcadet.39;Дом Пейлстоун;x
EVTOPTDcadet.39;Дом Дейн;x
EVTOPTAcadet.40;Дом Лисленд;x
EVTOPTBcadet.40;Дом Бовиер;x
EVTOPTCcadet.40;Дом Спайрс;x
EVTOPTDcadet.40;Дом Фаулер;x
EVTOPTAcadet.41;Дом Карсон;x
EVTOPTBcadet.41;Дом Медлар;x
EVTOPTCcadet.41;Дом Айронквилл;x
EVTOPTAcadet.42;Дом Аломар;x
EVTOPTBcadet.42;Дом Сантарион;x
EVTOPTCcadet.42;Дом Бримстоун;x
EVTOPTDcadet.42;Дом Уллер;x
EVTOPTAcadet.43;Дом Глендур;x
EVTOPTBcadet.43;Дом Аркверт;x
EVTOPTCcadet.43;Дом Блэкгейт;x
EVTOPTDcadet.43;Дом Айронвуд;x
EVTOPTAcadet.44;Дом Редсейл;x
EVTOPTBcadet.44;Дом Хакленд;x
EVTOPTCcadet.44;Дом Фриман;x
EVTOPTAcadet.45;Дом Ширклифф;x
EVTOPTBcadet.45;Дом Ардвэй;x
EVTOPTCcadet.45;Дом Салтир;x
EVTOPTDcadet.45;Дом Харлоу;x
EVTOPTAcadet.46;Дом Стронгроу;x
EVTOPTBcadet.46;Дом Бейлкип;x
EVTOPTCcadet.46;Дом Тирск;x
EVTOPTDcadet.46;Дом Драмм;x
EVTOPTAcadet.47;Дом Иссвинд;x
EVTOPTBcadet.47;Дом Круэлси;x
EVTOPTCcadet.47;Дом Вэйлер;x
EVTOPTAcadet.48;Дом Делвинг;x
EVTOPTBcadet.48;Дом Остервик;x
EVTOPTCcadet.48;Дом Тендейл;x
EVTOPTAcadet.49;Дом Нейрест;x
EVTOPTBcadet.49;Дом Незермур;x
EVTOPTCcadet.49;Дом Фастольф;x
EVTOPTAcadet.50;Дом Танкред;x
EVTOPTBcadet.50;Дом Кадмонт;x
EVTOPTCcadet.50;Дом Галл;x
EVTOPTAcadet.51;Дом Хоквуд;x
EVTOPTBcadet.51;Дом Лейн;x
EVTOPTCcadet.51;Дом Рутленд;x
EVTOPTAcadet.52;Дом Вейрстоун;x
EVTOPTBcadet.52;Дом Каскельд;x
EVTOPTCcadet.52;Дом Брейсс;x
EVTOPTAcadet.53;Дом Фартинг;x
EVTOPTBcadet.53;Дом Картрайт;x
EVTOPTCcadet.53;Дом Рэдброк;x
EVTOPTAcadet.54;Дом Кендлстон;x
EVTOPTBcadet.54;Дом Каннок;x
EVTOPTCcadet.54;Дом Таллер;x
EVTOPTAcadet.55;Дом Исли;x
EVTOPTBcadet.55;Дом Чалка;x
EVTOPTCcadet.55;Дом Лилберн;x
EVTOPTAcadet.56;Дом Гальвейн;x
EVTOPTBcadet.56;Дом Брюгс;x
EVTOPTCcadet.56;Дом Монтгейвин;x
EVTOPTAcadet.57;Дом Скиннер;x
EVTOPTBcadet.57;Дом Каллинг;x
EVTOPTCcadet.57;Дом Уэйлбек;x
EVTOPTDcadet.57;Дом Болтон;x
EVTOPTAcadet.58;Дом Берроуз;x
EVTOPTBcadet.58;Дом Танетт;x
EVTOPTCcadet.58;Дом Краунс;x
EVTOPTAcadet.59;Дом Глен;x
EVTOPTBcadet.59;Дом Сворд;x
EVTOPTCcadet.59;Дом Шейл;x
EVTOPTAcadet.60;Дом Карлсби;x
EVTOPTBcadet.60;Дом Бернвуд;x
EVTOPTCcadet.60;Дом Грейклифф;x
EVTOPTDcadet.60;Дом Карстарк;x
EVTOPTAcadet.61;Дом Роунтон;x
EVTOPTBcadet.61;Дом Вайс;x
EVTOPTCcadet.61;Дом Холл;x
EVTOPTDcadet.61;Дом Мандерли;x
EVTOPTAcadet.62;Дом Хьюм;x
EVTOPTBcadet.62;Дом Флагг;x
EVTOPTCcadet.62;Дом Барлоу;x
EVTOPTAcadet.63;Дом Фирт;x
EVTOPTBcadet.63;Дом Ветт;x
EVTOPTCcadet.63;Дом Драунленд;x
EVTOPTDcadet.63;Дом Рид;x
EVTOPTAcadet.64;Дом Ринн;x
EVTOPTBcadet.64;Дом Тротт;x
EVTOPTCcadet.64;Дом Марисфолд;x
EVTOPTDcadet.64;Дом Рисвелл;x
EVTOPTAcadet.65;Дом Беллоуз;x
EVTOPTBcadet.65;Дом Хорн;x
EVTOPTCcadet.65;Дом Аск;x
EVTOPTAcadet.66;Дом Брейсвелл;x
EVTOPTBcadet.66;Дом Холт;x
EVTOPTCcadet.66;Дом Ворд;x
EVTOPTAcadet.67;Дом Эркин;x
EVTOPTBcadet.67;Дом Джетт;x
EVTOPTCcadet.67;Дом Майалл;x
EVTOPTAcadet.68;Дом Эмблтон;x
EVTOPTBcadet.68;Дом Тенфилд;x
EVTOPTCcadet.68;Дом Рэби;x
EVTOPTAcadet.69;Дом Уэйк;x
EVTOPTBcadet.69;Дом Стоунволл;x
EVTOPTCcadet.69;Дом Фламбард;x
EVTOPTAcadet.70;Дом Сламбертон;x
EVTOPTBcadet.70;Дом Неттлфилд;x
EVTOPTCcadet.70;Дом Гринакр;x
EVTOPTAcadet.71;Дом Уорингем;x
EVTOPTBcadet.71;Дом Актон;x
EVTOPTCcadet.71;Дом Бродмоут;x
EVTOPTDcadet.71;Дом Окхарт;x
EVTOPTAcadet.72;Дом Гроун;x
EVTOPTBcadet.72;Дом Гормонт;x
EVTOPTCcadet.72;Дом Старпик;x
EVTOPTDcadet.72;Дом Пик;x
EVTOPTAcadet.73;Дом Стронгвин;x
EVTOPTBcadet.73;Дом Винтнер;x
EVTOPTCcadet.73;Дом Рипвелл;x
EVTOPTAcadet.74;Дом Тадберри;x
EVTOPTBcadet.74;Дом Корри;x
EVTOPTCcadet.74;Дом Поинтон;x
EVTOPTDcadet.74;Дом Рован;x
EVTOPTAcadet.75;Дом Хорнби;x
EVTOPTBcadet.75;Дом Иллвик;x
EVTOPTCcadet.75;Дом Редхит;x
EVTOPTAcadet.76;Дом Бримсли;x
EVTOPTBcadet.76;Дом Катерби;x
EVTOPTCcadet.76;Дом Траппер;x
EVTOPTDcadet.76;Дом Футли;x
EVTOPTAcadet.77;Дом Брей;x
EVTOPTBcadet.77;Дом Олдуотер;x
EVTOPTCcadet.77;Дом Нокфорд;x
EVTOPTAcadet.78;Дом Сильверкот;x
EVTOPTBcadet.78;Дом Андервуд;x
EVTOPTCcadet.78;Дом Вернон;x
EVTOPTDcadet.78;Дом Флорент;x
EVTOPTAcadet.79;Дом Бардсли;x
EVTOPTBcadet.79;Дом Эрдхилл;x
EVTOPTCcadet.79;Дом Холгрив;x
EVTOPTAcadet.80;Дом Флетчфилд;x
EVTOPTBcadet.80;Дом Ньюхолл;x
EVTOPTCcadet.80;Дом Доубридж;x
EVTOPTDcadet.80;Дом Осгрей;x
EVTOPTAcadet.81;Дом Виверли;x
EVTOPTBcadet.81;Дом Хов;x
EVTOPTCcadet.81;Дом Лонгфелл;x
EVTOPTDcadet.81;Дом Бракс;x
EVTOPTAcadet.82;Дом Глейвстон;x
EVTOPTBcadet.82;Дом Молл;x
EVTOPTCcadet.82;Дом Одеррих;x
EVTOPTAcadet.83;Дом Давентри;x
EVTOPTBcadet.83;Дом Нордвик;x
EVTOPTCcadet.83;Дом Рив;x
EVTOPTDcadet.83;Дом Кеннинг;x
EVTOPTAcadet.84;Дом Боуэр;x
EVTOPTBcadet.84;Дом Лирингем;x
EVTOPTCcadet.84;Дом Урс;x
EVTOPTDcadet.84;Дом Леффорд;x
EVTOPTAcadet.85;Дом Орресби;x
EVTOPTBcadet.85;Дом Грейвенор;x
EVTOPTCcadet.85;Дом Рассард;x
EVTOPTAcadet.86;Дом Питт;x
EVTOPTBcadet.86;Дом Квинсмарк;x
EVTOPTCcadet.86;Дом Сплинтерфорд;x
EVTOPTAcadet.87;Дом Аргенмонт;x
EVTOPTBcadet.87;Дом Роуч;x
EVTOPTCcadet.87;Дом Пекфилд;x
EVTOPTAcadet.88;Дом Коур;x
EVTOPTBcadet.88;Дом Истли;x
EVTOPTCcadet.88;Дом Поллард;x
EVTOPTDcadet.88;Дом Вестерлинг;x
EVTOPTAcadet.89;Дом Эмбертон;x
EVTOPTBcadet.89;Дом Хоармонт;x
EVTOPTCcadet.89;Дом Эшенспарр;x
EVTOPTDcadet.89;Дом Марбранд;x
EVTOPTAcadet.90;Дом Нелсби;x
EVTOPTBcadet.90;Дом Одли;x
EVTOPTCcadet.90;Дом Идмер;x
EVTOPTAcadet.91;Дом Алтон;x
EVTOPTBcadet.91;Дом Кесселриг;x
EVTOPTCcadet.91;Дом Лоннсхед;x
EVTOPTAcadet.92;Дом Мидденхем;x
EVTOPTBcadet.92;Дом Холхем;x
EVTOPTCcadet.92;Дом Йилд;x
EVTOPTAcadet.93;Дом Алестрам;x
EVTOPTBcadet.93;Дом Данмилл;x
EVTOPTCcadet.93;Дом Монткарр;x
EVTOPTAcadet.94;Дом Нестлей;x
EVTOPTBcadet.94;Дом Стил;x
EVTOPTCcadet.94;Дом Дересби;x
EVTOPTAcadet.95;Дом Брюверстон;x
EVTOPTBcadet.95;Дом Фин;x
EVTOPTCcadet.95;Дом Меллор;x
EVTOPTAcadet.102;Дом Рокстон;x
EVTOPTAcadet.103;Дом Костейн;x
EVTOPTAcadet.104;Дом Бисбери;x
EVTOPTAcadet.105;Дом Болл;x
EVTOPTAcadet.106;Дом Лоутер;x
EVTOPTAcadet.107;Дом Норкросс;x
EVTOPTAcadet.108;Дом Вестбрук;x
EVTOPTAcadet.109;Дом Инчфилд;x
EVTOPTAcadet.110;Дом Блэкбар;x
EVTOPTAcadet.111;Дом Лейгуд;x
EVTOPTAcadet.112;Дом Конклин;x
EVTOPTAcadet.113;Дом Бриджес;x
EVTOPTAcadet.114;Дом Миддлбери;x
EVTOPTAcadet.115;Дом Мерривезер;x
EVTOPTAcadet.116;Дом Виллум;x
EVTOPTAcadet.118;Дом Бульвер;x
EVTOPTDmbs_cadet.241;Дом Стоунхауз;x
EVTOPTDmbs_cadet.243;Дом Хоар;x
EVTOPTDmbs_cadet.233;Дом Блэктайд;x
EVTOPTDmbs_cadet.231;Дом Мерлин;x
EVTOPTDmbs_cadet.229;Дом Лордспорт;x
EVTOPTDmbs_cadet.230;Дом Солтклифф;x
EVTOPTDmbs_cadet.232;Дом Оркмонт;x
EVTOPTDmbs_cadet.234;Дом Волмарк;x
EVTOPTDmbs_cadet.236;Дом Винч;x
EVTOPTDmbs_cadet.001;Дом Берли;x
EVTOPTDmbs_cadet.010;Дом Нотт;x
EVTOPTDmbs_cadet.008;Дом Харклей;x
EVTOPTDmbs_cadet.028;Дом Уайтхилл;x
EVTOPTDmbs_cadet.033;Дом Форрестер;x
EVTOPTDmbs_cadet.049;Дом Фрост;x
EVTOPTDmbs_cadet.003;Дом Сервин;x
EVTOPTDmbs_cadet.063;Дом Боггс;x
EVTOPTAcadet.138;Дом Сангласс;x
EVTOPTAcadet.139;Дом Коль;x
EVTOPTAcadet.140;Дом Роллингфорд;x
EVTOPTAcadet.141;Дом Маллери;x
EVTOPTAcadet.142;Дом Дарклин;x
EVTOPTAcadet.143;Дом Хейфорд;x
EVTOPTAcadet.144;Дом Холлард;x
EVTOPTAcadet.145;Дом Стокворт;x
EVTOPTAcadet.146;Дом Берч;x
EVTOPTAcadet.147;Дом Блэкуотер;x
EVTOPTAcadet.148;Дом Рук;x
EVTOPTAcadet.149;Дом Толанд;x
EVTOPTAcadet.150;Дом Дальт;x
EVTOPTAcadet.151;Дом Кворгил;x
EVTOPTDmbs_cadet.210;Дом Морриген;x
EVTOPTDmbs_cadet.205;Дом Хасти;x
EVTOPTDmbs_cadet.226;Дом с Королевской Горы;x
EVTOPTDmbs_cadet.215;Дом Мертинс;x
EVTOPTDmbs_cadet.170;Дом Мур;x
EVTOPTDmbs_cadet.178;Дом Брейкстоун;x
EVTOPTDmbs_cadet.179;Дом Апклифф;x
EVTOPTDmbs_cadet.177;Дом Толлетт;x
EVTOPTDmbs_cadet.176;Дом Темплтон;x
EVTOPTDmbs_cadet.174;Дом Резермонт;x
EVTOPTDmbs_cadet.165;Дом Хардинг;x
EVTOPTDmbs_cadet.094;Дом Греймарч;x
