#CODE;RUSSIAN;x
garth_greenhand;Родословная Гарднеров;x
greenhand;Кровь Гарта Зеленорукого;x
garth_the_gardener;Кровь Гарта Садовника;x
garth_goldenhand;Кровь Гарта Златорукого;x
uthor_the_hightower;Кровь Утора из Высокой Башни;x
leo_longthorn;Кровь Длинного Шипа;x
alester_tyrell;Кровь Алестера Тирелла;x
florys_the_fox;Кровь Флорис Лисицы;x
john_the_oak;Кровь Джона Дуба;x
gilbert_of_the_vines;Кровь Гилберта Винной Лозы;x
urrigon_hightower;Кровь Урригона Хайтауэра;x
foss_the_archer;Кровь Фосса Лучника;x
owen_oakenshield;Кровь Оуэна Дубовый Щит;x
harlon_the_hunter_and_hendon_of_the_horn;Кровь Охотника и Рога;x
bors_the_breaker;Кровь Борса Крушителя;x
rose_of_red_lake;Кровь Розы с Алого Озера;x
rowan_gold_tree;Кровь Рован Золотое Деревце;x
elwyn_the_ever_sweet;Кровь Сладчайшей Эллин;x
lann_the_clever;Кровь Ланна Умного;x
gerold_the_great;Кровь Герольда Великого;x
crake_the_boarkiller;Кровь Крейка Убийцы Вепрей;x
mountain_that_rides;Ужасная Кровь Скачущей Горы;x
the_red_lion;Кровь Рейнов;x
the_hooded_man;Кровь Человека в Капюшоне;x
herrock_the_whoreson;Кровь Геррока Сына Шлюхи;x
the_crag;Кровь Крэга;x
the_blind_bowman;Кровь Слепого Лучника;x
farman;Кровь Светлого Острова;x
aubrey_crakehall;Кровь Обри Крейкхолла;x
nymeria;Кровь Нимерии;x
meria;Кровь Желтой Жабы;x
yronwood;Королевская Кровь;x
fowler;Кровь Фаулеров;x
samwell_dayne;Кровь Звездного Огня;x
the_wyl;Кровь Вилей;x
benedict_blackmont;Кровь Бенедикта Блэкмонта;x
manwoody;Кровь Манвуди;x
qorgyle;Кровь Чёрного Скорпиона;x
qorgyle_bl;Кровь Кворгилов;x
uller;Кровь Уллеров, Истребителей Драконов;x
uller_a;Кровь Уллеров;x
aegon_the_conqueror;Кровь Завоевателя;x
aegon_the_reclaimer;Кровь Реставратора;x
the_conciliator;Кровь Миротворца и Доброй Королевы;x
daemon_blackfyre;Кровь Черного Дракона;x
mad_king;Мерзкая Кровь Безумного Короля;x
the_sea_snake;Кровь Морского Змея;x
robert_baratheon;Кровь Демона Трезубца;x
the_shadow_king;Кровь Сумеречных Королей;x
bloodraven;Кровь Кровавого Ворона;x
bittersteel;Кровь Жгучего Клинка;x
seastar;Кровь Морской Звезды;x
maegor;Кровь Мейгора Жестокого;x
mother_of_dragons;Кровь Матери Драконов;x
aegon_vi;Кровь Золотого Дракона;x
bran_the_builder;Кровь Брандона Строителя;x
the_young_wolf;Кровь Молодого Волка;x
royce_redarm;Кровь Ройса Красные Локти;x
belthasar_bolton;Кровь Бельтазара Болтона;x
bran_the_breaker;Кровь Брандона Крушителя;x
theon_the_hungry_wolf;Кровь Голодного Волка;x
cregan_stark;Кровь Кригана Старка;x
bael_the_bard;Кровь Баэля-Барда;x
karlon_stark;Кровь Карлона Старка;x
last_hearth;Кровь Последнего Очага;x
first_king;Кровь Первого Короля;x
ryder;Кровь Райдеров;x
manderly;Кровь Белой Гавани;x
the_marsh_king;Кровь Болотных Королей;x
bear_island;Кровь Медвежьего Острова;x
hammer_of_justice;Кровь Молота Правосудия;x
bracken_bl;Кровь Бракенов;x
blackwood_bl;Кровь Блэквудов;x
walder_frey;Подлая Кровь Убийцы Гостей;x
edmyn_tully;Кровь Эдмина Талли;x
kermit_tully;Кровь Кермита Талли;x
mallister;Кровь Маллистеров;x
black_aly;Кровь Черной Али;x
artys_arryn;Кровь Рыцаря-Сокола;x
robar_royce;Кровь Короля Робара Ройса;x
the_talon;Кровь Когтя;x
littlefinger;Кровь Мизинца;x
jaime_corbray;Кровь Сира Джейме Корбрея;x
gerold_grafton;Кровь Герольда Графтона;x
redfort;Кровь Редфортов;x
hunter_a;Кровь Хантеров;x
ursula_upcliff;Кровь Невесты Короля Мерлингов;x
gulltown_arryns;Кровь Арренов из Чаячьего Города;x
ruthermont;Кровь Резермонтов;x
torgold_the_grim;Кровь Мрачного Торгольда;x
luceon_templeton;Кровь Сира Люцеона, Рыцаря Девяти Звёзд;x
durran_godsgrief;Кровь Дюррана Богоборца;x
orys_baratheon;Кровь Ориса Баратеона;x
galladon_of_morne;Кровь Сира Галладона из Морна;x
swann;Кровь Сваннов;x
lightning_lords;Кровь Лордов-Молний;x
lord_of_the_marches;Кровь Лордов Марок;x
renly_baratheon;Кровь Короля Ренли Баратеона;x
grey_king;Кровь Серого Короля;x
good_brother;Кровь Гудбразеров;x
harwyn_hardhand;Кровь Харвина Жёсткая Рука;x
red_kraken;Кровь Красного Кракена;x
house_codd;Презренная Кровь Коддов;x
lysandro_the_magnificent;Кровь Лисандро Великолепного;x
saan;Кровь Саанов;x
hyrkoon_the_hero;Кровь Гиркуна-Героя;x
grazdan_the_great;Кровь Граздана Великого;x
huzhor_amai;Кровь Хужора Амая;x
prince_garin;Дух Принца Гарина;x
hugor_of_the_hill;Дух Хугора с Холма;x
qarlon_the_great;Дух Кварлона Великого;x
khiara;Кровь Киары Великой;x
black_pearl;Кровь Черной Жемчужины;x
veiled_lady;Кровь Дамы под Вуалью;x
merling_queen;Кровь Сардиньей Королевы;x
moonshadow;Кровь Лунной Тени;x
daughter_of_dusk;Кровь Дочери Заката;x
nightingale;Кровь Соловья;x
poetess;Кровь Поэтессы;x
jon_snow;Кровь Дракона Зимы;x
jon_snow_nottarg;Кровь Дракона Зимы;x
piper;Кровь Розовой Девы;x
connington;Кровь Коннингтонов;x
red_viper;Кровь Красного Змея;x
tywin;Кровь Тайвина Ланнистера;x
bar_emmon;Кровь Тогариона Ужасного;x
massey;Кровь Джастина Молочноглазого;x
darry;Кровь Дарри;x
hornwood;Кровь Хорнвудов;x
glover;Кровь Темнолесья;x
flint;Кровь Королей Каменного Холма;x
horonno;Кровь Триарха Хоронно;x
drahar;Кровь Кормильца Крабов;x
pureborn;Кровь Чистокровных;x
laughing_storm;Кровь Смеющегося Вихря;x
dawnbreaker;Кровь Озарителя;x
night_king;Ужасная Кровь Короля Ночи;x
plowman;Кровь Пейта Пахаря;x
clawisle;Кровь Селтигаров;x
drop_of_the_dragon;Капля Драконьей Крови;x
plumm;Кровь Пламмов;x
oakenfist;Кровь Дубового Кулака;x
addam_velaryon;Кровь Верного Аддама Велариона;x
lord_of_tides;Кровь Лордов Приливов;x
two_drops;Вторая Капля Драконьей Крови;x
lothston;Кровь Лотстонов;x
danelle_lothston;Ужасная Кровь Данеллы Лотстон;x
whent;Кровь Уэнтов;x
harrenhal1;Кровь Харренхолла;x
harrenhal2;Темная Кровь Харренхолла;x
brune;Кровь Братьев Брюнов;x
great_warg;Кровь Великого Варга;x
tormund;Кровь Великаньей Смерти;x
mance;Кровь Манса Налетчика;x
red_raven;Кровь Красной Птицы;x
kbtw;Кровь Короля-за-Стеной;x
thenn;Кровь Магнара Теннов;x
winged_wolf;Кровь Крылатого Волка;x
arlan_avenger;Кровь Арлана Мстителя;x
argilac_arrogant;Кровь Аргилака Надменного;x
young_dragon;Кровь Юного Дракона;x
the_blessed;Кровь Бейлора Благословенного;x
viserys_ii;Кровь Визериса II Таргариена;x
rhaegar;Кровь Серебряного Принца;x
oakenseat;Кровь Восстановителя Дубового Трона;x
raventree;Кровь Восстановителя Воронодрева;x
penrose;Кровь Пенрозов;x
little_lion;Кровь Маленького Льва;x
bloodstone_bloodline;Кровь Нового Императора Кровавой Яшмы;x
palanquin_bloodline;Кровь Нового Бога-на-Земле;x
yellow_emperors;Кровь Желтых Императоров;x
