#CODE;RUSSIAN;x
EVTDESCcoronation.1;Я выразил[GetEndA] Верховному Септону желание быть коронованн[GetOyYm] в Великой Септе Бейлора. Надеюсь, он примет мою просьбу, чтобы я начал[GetEndA] уже приглашать моих лордов на коронацию.;x
EVTDESCcoronation.1A;[priest_coronation.GetTitledFirstName] получил[priest_coronation.GetEndA] моё пожелание провести коронацию в Красном храме Владыки Света. Надеюсь, [priest_coronation.GetSheHe] примет мое предложение, чтобы я начал[GetEndA] рассылать приглашения лордам.;x
EVTDESCcoronation.1B;[priest_coronation.GetTitledFirstName] получил[priest_coronation.GetEndA] моё пожелание провести коронацию в соответствие с религией Утонувшего бога. Надеюсь, жрецы примут мое предложение, чтобы я начал[GetEndA] рассылать приглашения Лордам.;x
EVTDESCcoronation.1C;Я выразил[GetEndA] Верховному Септону желание, чтобы во время коронации на меня надели венец из металла, дабы иностранцы принимали меня за своего. Надеюсь, он примет мою просьбу, чтобы я начал[GetEndA] рассылать приглашения Лордам.;x
EVTDESCcoronation.1D;[priest_coronation.GetTitledFirstName] получил[priest_coronation.GetEndA] моё пожелание провести коронацию в храме [Root.Religion.GetReligionHighGodGEN]. Надеюсь, [priest_coronation.GetSheHe] примет мою просьбу, чтобы я начал[GetEndA] рассылать приглашения Лордам.;x
EVTOPTAcoronation.1;Конечно же [priest_coronation.GetSheHe] примет;x
EVTDESCcoronation.2;Блаженному и преподобному Верховному Септону,\n\nКак [From.GetTitle] прошу вас благословить моё правление и провести официальную церемонию коронации.\n\nВечно преданн[From.GetAyaYy] вам,\n[From.GetName] из Дома [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] [From.GetHerHis] имени, [From.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Защитни[From.GetTsaK] Государства.;x
EVTDESCcoronation.2A;Святейш[Root.GetAyaIy] [Root.GetTitledFirstName],\n\nКак [From.GetTitle] прошу вас благословить моё правление и провести официальную церемонию коронации в Красном Храме.\n\nВечно преданн[From.GetAyaYy] Вам,\n[[From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] своего имени, [From.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Защитни[From.GetTsaK] Государства.;x
EVTDESCcoronation.2B;Святейш[Root.GetAyaIy] [Root.GetTitledFirstName],\n\nКак [From.GetTitle] прошу вас и прочих Утонувших Жрецов благословить моё правление и провести официальную церемонию коронации Короной из Плавника.\n\nВечно преданн[From.GetAyaYy],\n[[From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] своего имени, [From.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Защитни[From.GetTsaK] Государства.;x
EVTDESCcoronation.2C;Верховный Септон,\n\nВелик[From.GetAyaIy] [From.GetTitledName] решил[From.GetEndA] короноваться металлической короной согласно вестеросским традициям и просит Вас провести церемонию коронации.\n\nПодпись,\n[From.GetName], [From.GetRegnalOrdinal] [From.GetHerHis] имени, [From.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Защитни[From.GetTsaK] Государства.;x
EVTDESCcoronation.2D;Святейший [Root.GetTitledFirstName],\n\nКак [From.GetTitle] прошу вас благословить моё правление и провести официальную церемонию коронации в Храме Бога [From.Religion.GetHighGodName] в мою честь.\n\nВаш,\n[From.GetName] из Дома [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] [From.GetHerHis] имени, [From.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Защитни[From.GetTsaK] Государства.;x
EVTOPTAcoronation.2;Ответить, что я проведу [From.GetHerHis] коронацию.;x
EVTOPTBcoronation.2;Просит меня короновать [From.GetHerHis]? Да что [From.GetSheHe] о себе воображает?!;x
EVTDESCcoronation.3;[Root.GetTitledFirstNameNoRegnal], сам[Root.GetAyaYy] преданн[Root.GetAyaYy] и набожны[Root.GetAyaYy], [Root.GetRegnalOrdinal] [Root.GetHerHis] имени,\nИменем Семерых, я, Верховный Септон, благословляю ваше желание быть коронованн[Root.GetOyYm] в Великой Септе, как [Root.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Защитни[From.GetTsaK] Государства.;x
EVTDESCcoronation.3A;[Root.GetTitledFirstNameNoRegnal], сам[Root.GetAyaYy] преданн[Root.GetAyaYy] и набожны[Root.GetAyaYy], [Root.GetRegnalOrdinal] [Root.GetHerHis] имени,\nИменем Владыки Света, я, [From.GetTitledFirstName], благословляю ваше желание быть коронованн[Root.GetOyYm] в Красном Храме как [Root.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Защитни[From.GetTsaK] Государства.;x
EVTDESCcoronation.3B;Праведн[Root.GetAyaYy] [Root.GetTitledFirstNameNoRegnal], [Root.GetRegnalOrdinal] [Root.GetHerHis] имени,\nИменем Утонувшего Бога, хотели бы исполнить ваше желание быть коронованн[Root.GetOyYm] Короной из Плавника будучи известн[Root.GetOyYm] как Верховный [Root.GetKingQueen] Железнорожденных, Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Зашитни[From.GetTsaK] Государства.;x
EVTDESCcoronation.3C;Велик[Root.GetAyaYy] [Root.GetTitledFirstNameNoRegnal], [Root.GetRegnalOrdinal] [Root.GetHerHis] имени,\nИменем Семерых, я, Верховный Септон, благословляю ваше желание быть коронованн[Root.GetOyYm] в Великой Септе как [Root.GetKingQueen] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Зашитни[From.GetTsaK] Государства.;x
