ca_sarnath_throne;Высокий Трон Сарнора;x
ca_sarnath_throne_desc;В сердце Дворца с Тысячью Покоев находится Высокий Трон Сарнора. Трон стоит на семиступенчатом возвышении, над ним нависает проскениум, а позади – символ королевской семьи.;x
ca_thousand_rooms;Дворец Тысячи покоев;x
ca_thousand_rooms_desc;Считающийся одним из Девяти Чудес Рукотворных, Дворец Тысячи покоев служит резиденцией Верховного Короля Сарнора.;x
ca_sallosh_library;Великая Библиотека Саллоша;x
ca_sallosh_library_desc;Расположенный на Серебряном Берегу, Саллош известен как Город Учёных. Его превосходная библиотека хранит обширные летописи Высоких людей.;x
ca_sarys_port;Великая Гавань Сариса;x
ca_sarys_port_desc;Укрывшаяся в восточной оконечности дельты Сарны, Великая Гавань Сариса – чудо сарнорского инженерного искусства.;x
ca_kasath;Караван-сарай Касата;x
ca_kasath_desc;Важный город королевства Сарнор, Касат известен как Город Караванов.;x
ca_sathar_waterfalls;Водопады Сатара;x
ca_sathar_waterfalls_desc;Расположенный у слияния двух рукавов Сарны, Сатар, Город Водопадов, почитается красивейшим из луговых городов Высоких людей.;x
ca_gornath_canals;Каналы Горната;x
ca_gornath_canals_desc;Великий город сарнорцев, Горнат славится своими каналами, которые называют самыми замысловатыми и прекрасными в мире.;x
ca_mardosh_walls;Стены Мардоша;x
ca_mardosh_walls_desc;Известный как Город Воинов, город-крепость Мардош почитается неприступным.;x
