#CODE;RUSSIAN;x
take_loan;Взять кредит;x
#take_loan;[Root.GetTakeLoanDecisionName];x
take_loan_desc;Взять кредит на пять лет под 25% годовых;x
TOOLTIP_NOTDISHONOUREDLOAN;НЕпреднамеренно просрочил банковский долг в прошлом;x
EVTTOOLTIPtake_loan;Представлен список банков;x
GetTakeLoanDecisionName_IronBank;Попросить заём у Железного банка;x
GetTakeLoanDecisionName_Other;Взять кредит;x
EVTDESC64420;Кто среди моих верных вассалов согласится одолжить деньги своему господину?;x
EVTOPTA64420;Это наш долг, отправить ворона!;x
EVTOPTB64420;Хммм... Я не думаю, что мы так обязаны нашему господину.;x
EVTDESC64421;Ваш Лорд нуждается в ваших деньгах.;x
EVTOPTA64421;Пусть будет так, это наш долг.;x
EVTOPTB64421;Мы не крестьяне. Он имеет право требовать наши мечи, но не нашу казну.;x
EVTDESC64422;Вот Ваши деньги;x
EVTOPTA64422;Я лучше куплю себе палку для чесания спины из драконьей кости;x
EVTDESC64423;У меня нет денег, поищите их в другом месте;x
EVTOPTA64423;Скряга!;x
EVTDESC64425;Теперь, когда я оскорбил этих кредиторов что они сделают?;x
EVTDESC64424;Ссуда прибыла;x
EVTOPTA64424;Я заплачу...;x
EVTOPTB64424;Они не смогут задушить меня своими сумасшедшими процентами!;x
EVTOPTA64425;Кому какое дело?;x
EVTDESCbankruptcy.100;Приветствую вас, [Root.PrimaryTitle]. У меня к вам предложение, которое наверняка вас заинтересует - новый титул для Вас и деньги для нас. Нам нужны деньги, которые задолжали ваши враги, и я уверен, что вы сможете их оплатить. Разве это не честная сделка?;x
EVTDESCbankruptcy.100B;Я направил[GetEndA] своё предложение совету общества [From.Society.GetName], и верну неоплаченный долг персонажа [debtor_target.GetFirstNameWithDynasty] с помощью банковских средств, что позволит получить притязания против [debtor_target.GetHerHis].;x
EVTOPTAbankruptcy.100;Хорошо, я выиграю войну против государства [debtor_target.PrimaryTitle.GetName], а вы получите свои деньги;x
EVTOPTAbankruptcy.100B;Хорошо, я выиграю войну против государства [debtor_target.PrimaryTitle.GetName] и [From.Society.GetName] будет иметь это в виду;x
EVTOPTBbankruptcy.100;Хорошо, я получу свои притязания, а вы свои деньги.;x
EVTOPTDbankruptcy.100;Нет, это не мой долг;x
take_loan_from_vassal;Взять ссуду у вассала;x
take_loan_from_vassal_desc;Занять деньги от своих собственных вассалов по 25%-ой процентной ставке;x
martial_very_low;Плохой военный командир;x
martial_low;Очень слабый военный командир;x
martial_low_medium;Слабый военный командир;x
martial_medium;Средний военный командир;x
martial_medium_high;Хороший военный командир;x
martial_high;Очень хороший военный командир;x
martial_very_high;Исключительный военный командир;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! не при дворе. Пока управляет Регент.;x
disinherited;Лишённ[_ый] наследства;x
disinherited_desc;Этот персонаж лишен наследства;x
disinherit_decision;Лишить наследства персонажа [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];x
disinherit_decision_desc;Удалите этого персонажа из линии наследования.;x
negative_money_1;Нехватка денежных средств;x
desc_negative_money_1;Ваш Мастер над монетой указывает на ухудшение экономической ситуации. Возможно, было бы более целесообразно использовать уровень налогообложения или сократить некоторые расходы: в конце концов, ваше золото лучше всего тратить на должную оплату вашим верным солдатам и увеличение вашей армии!;x
negative_money_2;Нехватка денежных средств;x
desc_negative_money_2;Ваш Мастер над монетой обеспокоен ухудшением экономической ситуации в ваших владениях. Приходится игнорировать требование ремонта укреплений вашего замка и отказаться от безвозмездной помощи беднейшим людям.;x
negative_money_3;Нехватка денежных средств;x
desc_negative_money_3;Ваша казна почти пуста, ваш Мастер над монетой с трудом сдерживает кредиторов. Ваши слуги плохо одеты и голодны, их ливреи грязны и оборваны. Еды на вашем столе все меньше, эль более на поминает воду, гости у вас бывают редко. Ваши соседи смотрят на вас со смесью благородства и презрения, если таково положение и в армии, то чего следует ожидать.;x
negative_money_4;Нехватка денежных средств;x
desc_negative_money_4;Милорд, финансовое положение государство удручающе. Даже самые бедные странствующие торговцы покидают рынки ваших замков и городов. Более сильные соседи только и ждут подходящий момент, чтобы нанести удар.;x
negative_money_5;Нехватка денежных средств;x
desc_negative_money_5;Милорд, ваш Мастер над оружием грозится покинуть свой пост, он уже не может сдерживать волнения в войсках. Ваши воины голодают, не получают нормального снаряжения, они даже не могут купить себе выпивку, поскольку уже давно не получали денег. Волнения в рядах войск ощутимы, нужно срочно что-то предпринимать, пока ситуация не вышла из-под контроля окончательно.;x
negative_money_6;Нехватка денежных средств;x
desc_negative_money_6;Милорд, ваш Мастер над монетой прошлой ночью пытался повеситься, чтобы не брать на себя ответственность за удручающую ситуацию в стране, он ошибся в выборе веревки, которая не выдержала его веса, хотя и не понятно, настолько ли плоха эта новость.;x
opinion_debt_insurer;Обеспечение долга;x
TOOLTIPloan_insurance;[From.GetSocietyRank] персонажа [From.GetFirstNameWithDynasty] предлагает следующие условия:- [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] берет ссуду в размере §Y[Root.insurance_loan.GetValue]§!¤ из банка [From.Society.GetName]\nЕсли [Root.GetTitledFirstNameNoRegnal] успешно получает [debtor_target.PrimaryTitle.GetName], [Root.GetSheHe] выплатит долг в размере §Y[debtor_target.loan_amount.GetValue]§!¤.  Это в дополнение к первоначальному кредиту.\n- Процентная ставка  составит §Y10%§!\n- [From.Society.GetName] предоставит наёмников без каких-либо затрат;x
TOOLTIPloan_50_insurance;Если вы победите вашего врага, [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] долж[This.GetNaEn] будет взять на себя их долги в §Y50§! Золотых под 25% \n;x
TOOLTIPloan_100_insurance;Если вы победите вашего врага, [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] долж[This.GetNaEn] будет взять на себя их долги в §Y100§! Золотых под 25% \n;x
TOOLTIPloan_200_insurance;Если вы победите вашего врага, [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] долж[This.GetNaEn] будет взять на себя их долги в §Y200§! Золотых под 25% \n;x
TOOLTIPloan_400_insurance;Если вы победите вашего врага, [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] долж[This.GetNaEn] будет взять на себя их долги в §Y400§! Золотых под 25% \n;x
TOOLTIPloan_600_insurance;Если вы победите вашего врага, [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] долж[This.GetNaEn] будет взять на себя их долги в §Y600§! Золотых под 25% \n;x
TOOLTIPloan_800_insurance;Если вы победите вашего врага, [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] долж[This.GetNaEn] будет взять на себя их долги в §Y800§! Золотых под 25% \n;x
TOOLTIPloan_1000_insurance;Если вы победите вашего врага, [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] долж[This.GetNaEn] будет взять на себя их долги в §Y1000§! Золотых под 25% \n;x
EVTDESCbankruptcy.101;Вы успешно захватили [From.GetName], [FromFrom.GetFirstNameWithDynasty] побежден[FromFrom.GetEndA], и теперь [loan_bank.GetName] требует выполнения соглашения в покрытиии [FromFrom.GetHerHis] долгов...;x
EVTTOOLTIPbankruptcy.101C;Заем в [Root.loan_amount.GetValue]¤ будет продлен на пять лет;x
EVTDESCbankruptcy.102;[Root.PrimaryTitle.GetFOA], Ваши советники слышали, что [Root.GetLoanBank] предложил помощь персонажу [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] для узурпации ваших титулов. Все потому, что вы не выплачиваете долги.;x
EVTOPTAbankruptcy.102;Ложь!;x
EVTDESC38010;Казна государства опустела, денежные поступления скудны, однако, один из ваших вассалов имеет достаточно золота, чтобы дать вам в долг...;x
EVTOPTA38010;Я долж[GetNaEn] запросить кредит;x
EVTTOOLTIP38013;будет предложено предоставить кредит для вас.;x
EVTDESC38011;[Root.PrimaryTitle.GetFOA], финансы в вотчине находятся в неудовлетворительном состоянии, [From.PrimaryTitle.GetName] срочно нуждается в золоте. Так что я прошу вас предоставить кредит Дому [From.GetOnlyDynastyName].\n\n С уважением,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x
TOOLTIP38011LOAN;[From.GetTitle] [From.GetFirstName] получит от вас пятилетний кредит под 25%.\n;x
opinion_liege_loan;Взят кредит у меня;x
liege_loan;Сюзерен взял кредит;x
EVTDESC38014;[Root.PrimaryTitle.GetFOA], боюсь, что я не могу удовлетворить вашу просьбу и предоставить кредит, это слишком большой риск для моей казны.\n\nС уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTDESC38014B;[Root.PrimaryTitle.GetFOA], боюсь, что я не могу удовлетворить вашу просьбу и предоставить кредит, моё золото принадлежит только мне.\n\nС уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTDESC38014C;[Root.PrimaryTitle.GetFOA], боюсь, что я не могу удовлетворить вашу просьбу и предоставить кредит, мне необходимы средства для войны.\n\nС уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTDESC38014D;[Root.PrimaryTitle.GetFOA], боюсь, что я не могу удовлетворить вашу просьбу и предоставить кредит, ваши прошлые невыплаты и просрочки долгов показывают, что это не разумно.\n\nС уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTDESC38014E;[Root.PrimaryTitle.GetFOA], боюсь, что я не могу удовлетворить вашу просьбу и предоставить кредит, Я не думаю, что могу доверить вам этот долг.\n\nС уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTDESC38015;[Root.PrimaryTitle.GetFOA], конечно, я выполню свои обязательства и выдам Вам кредит. Золото будет отправлено в замок [Root.Capital.GetName] незамедлительно.\n\n С уважением,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x
TOOLTIP38015LOAN;[From.GetTitle] [From.GetFirstName] предоставил[From.GetEndA] Вам пятилетний кредит под 25%..\n;x
EVTDESCbankruptcy.103;М[debtor_target.GetOyaOy] [debtor_target.GetRootRelation] [debtor_target.GetTitledFirstNameWithDynasty] долж[debtor_target.GetNaEn] мне золото, которое Дом [Root.GetOnlyDynastyName] занял, настало время платить по долгам...;x
EVTOPTAbankruptcy.103;[debtor_target.GetSheHeCap] непременно, заплатит;x
EVTOPTBbankruptcy.103;Я могу подождать, у меня много денег;x
TOOLTIPbankruptcy.104;будет направлено ваше требование об уплате;x
EVTDESCbankruptcy.104;[Root.PrimaryTitle.GetFOA], Я хотел[From.GetEndA] бы вежливо напомнить вам о золоте, которое [Root.PrimaryTitle.GetName] долж[Root.PrimaryTitle.GetNaEn] моей семье, и тем самым прошу, чтобы долг был погашен, как можно скорее.\n\n С уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTDESCbankruptcy.104B;[Root.PrimaryTitle.GetFOA], я хотел[From.GetEndA] бы вежливо напомнить вам о золоте, которое [loan_title.GetFullName] должны моему Дому, и настоящим просить выплатить причитающуюся монету как можно скорее.\n\n С уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTOPTAbankruptcy.104;Платить деньги;x
TOOLTIPbankruptcy.105;Кредит должен быть погашен в полном объеме;x
TOOLTIPbankruptcy.106;оставить золото у себя и продлить кредит;x
TOOLTIPbankruptcy.107;узнает об этом и кредит будет продлен;x
TOOLTIPbankruptcy.108;Кредит должен быть отменен;x
EVTDESCbankruptcy.105;[Root.GetTitle] [Root.GetFirstName], я, безусловно, погашу мои долги перед Вашим Домом. Золото будет отправлено в замок [Root.Capital.GetName] незамедлительно.\n\n С уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTOPTAbankruptcy.105;Сделка с хорошим финалом;x
EVTDESCbankruptcy.106;[Root.GetTitle] [Root.GetFirstName], [From.PrimaryTitle.GetName] не в состоянии выплатить кредит полностью, но я, конечно же, выплачу проценты и прошу продлить займ.\n\n С уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTOPTAbankruptcy.106;Когда же я получу свое золото...;x
EVTDESCbankruptcy.107;[Root.GetTitle] [Root.GetFirstName], к сожалению, я и мой совет пришли к выводу, что [From.PrimaryTitle.GetName] просто не в состоянии выплатить долг, но будьте уверены, Вы получите все до последней монеты.\n\n С уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTOPTAbankruptcy.107;[From.PrimaryTitle.GetName] под управлением дураков;x
EVTDESCbankruptcy.108;[Root.GetTitle] [Root.GetFirstName], я, как Ваш законный сюзерен, приш[From.GetLaYol] к выводу, что не обязан[From.GetEndA] ни одному из моих знаменосцев. Считайте, что кредит был выдан в качестве дани.\n\n С уважением,\n[From.GetTitledFirstNameWithDynasty];x
EVTOPTAbankruptcy.108;Это возмутительно!;x
opinion_cancelled_loan;Отмена займа;x
opinion_loan_default;Дефолт по займу;x
opinion_extended_loan;Расширенный займ;x
TOOLTIPbankruptcy.109;Займ может быть продлен еще на 5 лет без выплаты процентов;x
EVTDESCbankruptcy.109;[Root.PrimaryTitle.GetFOA], я уверен[From.GetEndA], вы знаете, что срок по кредиту, выданному правителю земли [Root.PrimaryTitle.GetName] моим Домом, подошел. Тем не менее, в настоящее время, я не нуждаюсь в золоте и продлю срок выплаты в вашу пользу.\n\n Ваш[From.GetEndA],\n[From.GetTitledFirstNameWithDynasty];x
EVTOPTAbankruptcy.109;Как благородно;x
EVTDESC38071C;[bank_envoy.GetBankEnvoyTitle] из общества [Root.GetLoanBank] прибыл[bank_envoy.GetEndA] в город [Root.Capital.GetName], и [bank_envoy.GetSheHe] выглядит довольно возмущённ[bank_envoy.GetOyYm]. [bank_envoy.GetSheHeCap] информирует мой двор о том, что [debt_capital.GetFullName] не выплатил[debt_capital.GetEndA] долги перед банком, и что как нынешний владелец этого титула, я должен возместить их потери...;x
EVTDESC38071D;Посланник из банка прибыл в [Root.Capital.GetName], и он выглядит довольно встревоженным. Он информирует мой двор о том, что долги, котрые [debt_capital.GetFullName] должен банку, не были выплачены, и что, как нынешний владелец этого титула, я должен возместить их потери...;x
EVTDESC38071E;[bank_envoy.GetBankEnvoyTitle] из общества [Root.GetLoanBank] прибыл[bank_envoy.GetEndA] в город [Root.Capital.GetName], и [bank_envoy.GetSheHe] выглядит рассерженн[bank_envoy.GetOyYm]. [bank_envoy.GetSheHeCap] утверждает, что золото было украдено из банка во время разграбления города моими предшественниками, и требует вернуть золото вместе с дополнительной компенсацией...;x
EVTOPTB38071;Обещаю погасить и уплатить причитающиеся проценты;x
EVTOPTA38071;Я не могу сделать это прямо сейчас, но обещаю выплатить;x
TOOLTIPIRONBANKMERCS;Железный банк предоставит вам наемников;x
EVTOPTBbankruptcy.107;Земли могут быть приемлимой платой;x
TOOLTIPbankruptcy.500;Вы предлагаете оплатить долг персонажу [This.GetTitle] [This.GetFirstName] землями;x
EVTOPTCbankruptcy.107;Может быть взамен, [From.GetSheHe] может ослабить свои полномочия?;x
TOOLTIPbankruptcy.503;Вы предлагаете персонажу [This.GetTitle] [This.GetFirstName] вместо оплаты долга ослабить законы короны;x
EVTOPTDbankruptcy.107;Если авторитет религии поднимется, мы готовы забыть о долге;x
TOOLTIPbankruptcy.507;Вы предлагаете персонажу [This.GetTitle] [This.GetFirstName] вместо оплаты долга поднять авторитет религии;x
EVTOPTEbankruptcy.107;Как насчет того, чтобы отказаться от этого долга в обмен на услугу?;x
TOOLTIPbankruptcy.511;Вы предлагаете персонажу [This.GetTitle] [This.GetFirstName] забыть долг в обмен на услугу;x
EVTDESCbankruptcy.500;[Root.PrimaryTitle.GetFOA], мне очень жаль слышать, что вы не можете вернуть долг вовремя, но, возможно, мы сможем достигнуть еще одного соглашения? Если вы предоставите Дому [From.GetOnlyDynastyName] земли, мы забудем о долге.\n\n Ваш[From.GetEndA],\n[From.GetTitle] [From.GetFirstName];x
EVTOPTAbankruptcy.500;Честная сделка, нужно это сделать;x
TOOLTIPbankruptcy.501;Ваша задолженность перед персонажем [This.GetTitle] [This.GetFirstName] будет забыта;x
EVTOPTBbankruptcy.500;Нет, [From.GetSheHe] получит свое золото, как и бы договорено;x
EVTDESCbankruptcy.501;[Root.GetTitle] [Root.GetFirstName], предлагаемые вами условия, являются наиболее разумными. Я предоставлю Дому [Root.GetOnlyDynastyName] новые владения, а вы забудете мой долг.\n\n С уважением,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];x
