father_fos;Поклоняется Отцу;x
father_fos_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Отцу, воплощению правосудия и справедливого правления;x
mother_fos;Поклоняется Матери;x
mother_fos_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Матери, воплощению материнства, милосердия и плодородия;x
warrior_fos;Поклоняется Воину;x
warrior_fos_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Воину, воплощению воинской доблести, храбрости и твердости;x
crone_fos;Поклоняется Старице;x
crone_fos_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Старице, воплощению мудрости и наставления;x
smith_fos;Поклоняется Кузнецу;x
smith_fos_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Кузнецу, воплощению работы, ремесел и трудолюбия;x
maiden_fos;Поклоняется Деве;x
maiden_fos_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Деве, воплощению невинности и целомудрия;x
stranger_fos;Поклоняется Неведомому;x
stranger_fos_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Неведомому, темному воплощению смерти и неизвестного, который провожает души умерших в иной мир;x

emperor_yiti;Преданн[GetAyaYy] Императорам;x
emperor_yiti_desc;Эт[_от] [__персонаж] направляет большинство своих молитв духам божественных императоров И-Ти, наследникам Бога-на-Земле, которым дозволяется носить традиционные одежды из золотой ткани, зеленого жемчуга, и нефрита. Божественные духи императоров, как говорят, даруют людям усердие и справедливых правителей;x
lionofnight_yiti;Преданный Льву Ночи;x
lionofnight_yiti_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Льву Ночи, отцу Бога-на-Земле, богу смерти и божественной кары;x
maidenmadeoflight_yiti;Преданный Деве-из-Света;x
maidenmadeoflight_yiti_desc;Эт[_от] [__персонаж] направляет большинство своих молитв Деве-из-Света, богине солнца, и матери Бога-на-Земле, которая отвернула свое лицо от мира после Предательства Крови и ввержения мира в Длинную Ночь, которая закончилась только когда она вернулась;x
monkeytailedwoman_yiti;Преданный Женщине с обезьяньим хвостом;x
