#CODE;RUSSIAN;x
CAPTAINGENERAL;Генерал-Капитан;x
employ_golden_company;Попытаться нанять на службу Золотых Мечей;x
employ_golden_company_desc;Отправить мастера над законом за Узкое море, чтобы он попытался нанять Золотых Мечей. Как известно, в их отряде §Y10000§! мужей и найм их стоит более §Y900§! Драконов;x
TOOLTIPfree_cities.2;[Root.job_chancellor.GetTitledFirstNameWithDynastyAndTitleNoRegnal] попытается нанять Золотых Мечей за Узким морем;x
EVTDESCfree_cities.2;[From.GetFirstNameWithDynasty] желает нанять Золотых Мечей.;x
EVTOPTAfree_cities.2;При условии, что я получу достойную награду.;x
EVTOPTBfree_cities.2;Да, это может выгодно.;x
EVTOPTCfree_cities.2;Я так не думаю;x
EVTDESCfree_cities.3;[Root.GetTitle] [Root.GetFirstNameWithDynasty], Ваше предложение, чтобы мы сражались за вас, очень заманчиво. Если вы предложите мне личное вознаграждение, думаю, мы согласимся. \n\n С уважением,\n[From.GetFirstNameWithDynasty];x
TOOLTIPGOLDENCOMPANY500;[From.GetFirstNameWithDynasty] получит §Y500§! драконов из вашей казны.\n;x
TOOLTIPGOLDENCOMPANY400;[From.GetFirstNameWithDynasty] получит §Y400§! драконов из вашей казны\n;x
TOOLTIPGOLDENCOMPANY300;[From.GetFirstNameWithDynasty] получит §Y300§! драконов из вашей казны\n;x
TOOLTIPGOLDENCOMPANY200;[From.GetFirstNameWithDynasty] получит §Y200§! драконов из вашей казны\n;x
TOOLTIPGOLDENCOMPANY100;[From.GetFirstNameWithDynasty] получит §Y100§! драконов из вашей казны\n;x
TOOLTIPCANHIREGOLDENCOMPANY;Вы можете нанять Золотых Мечей в полном обмундировании за 900¤\n;x
EVTOPTAfree_cities.3;Я должен заплатить им.;x
EVTOPTBfree_cities.3;Жалкий ублюдок! Я отказываюсь.;x
EVTDESCfree_cities.4;[Root.GetTitle] [Root.GetFirstNameWithDynasty], Ваше предложение по поводу нашего найма мы сочли приемлимым. Мы будем сражаться за вас.\n\nС Уважением,\n[From.GetFirstNameWithDynasty];x
EVTOPTAfree_cities.4;Это должно повлиять на ход войны.;x
EVTOPTBfree_cities.4;На самом деле, я изменил[GetEndA] свое мнение;x
EVTDESCfree_cities.5;[Root.GetTitle] [Root.GetFirstNameWithDynasty], боюсь что я не вижу смысла участвовать в войне на вашей стороне. Мы подождем лучшего предложения. \n\n С уважением,\n[From.GetFirstNameWithDynasty];x
EVTOPTBfree_cities.5;Они потеряны;x
EVTDESCfree_cities.6;Золотые Мечи больше не сражаются за нас, нам нужно обратится к ним, чтобы снова получить их мечи.;x
EVTDESCfree_cities.7;[Root.GetTitle] [Root.GetFirstNameWithDynasty], к сожалению мы не можем присоединиться к вашей борьбе, возможно мы сможем добиться соглашения в будущем.\n\n С уважением,\n[From.GetFirstNameWithDynasty];x
