#CODE;RUSSIAN;x

title_commander_city_watch;Командир Городской Стражи;x
title_commander_city_watch_desc;Командир городской стражи отвечает за безопасность Королевской Гавани и сдерживание преступности.;x
title_lord_commander_kingsguard_cbb;Лорд-командующий Королевской гвардии;x
title_lord_commander_kingsguard_cbb_desc;Лорд-командующий королевской гвардии отвечает за организацию безопасности короля, а также за помощь и инструктирование других членов королевской гвардии.;x
title_commander_wolfs_den;Командир Волчьего логова;x
title_commander_wolfs_den_desc;Командир Волчьего Логова отвечает за защиту устья Белого Ножа от рейдеров с моря.;x
title_commander_oldtown;Лорд-командующий Староместа;x
title_commander_oldtown_desc;Командир городской стражи отвечает за безопасность Староместа и сдерживает рейдеров;x
title_mistress_cbb;Любовница Короля;x
title_mistress_cbb_desc;Любовница Короля Семи Королевств, как известно, не даёт королю заскучать и получает подарки от самого монарха.;x
