#CODE;RUSSIAN;x
nick_the_uniqfalconknight;Рыцарь-Сокол;x
nick_uniqgreystone;Грейстоун;x
nick_uniqsailorswife;Матросская Жёнка;x
nick_uniqchampion_volantis;Защитник Волантиса;x
nick_uniqbrownben;Бурый;x
nick_uniqsmiler;Улыбчивый;x
nick_uniqslayer;Истребитель;x
legitimize_bastard_dead_parents;Узаконить бастарда;x
legitimize_bastard_dead_parents_desc;Объявить этого осиротелого бастарда - [Root.GetTitledFirstNameNoRegnal] - законным ребенком, в честь его покойного родителя. Обычно только король может узаконить бастарда;x
bloodline_daemon_targaryen;Кровь Порочного Принца;x
bloodline_daemon_targaryen_desc;Лихой и опасный, бывший король Ступеней, брат Визериса I, принц Деймон Таргариен состоял в партии чёрных и сражался за свою жену - королеву Рейниру. Владел валирийским мечом Тёмная Сестра и летал на драконе Караксесе.;x
lonnel_snow_cassel;Кровь Лоннела Сноу;x
lonnel_snow_cassel_desc;Бастард Старка и Фенн, третий сын десятого ребёнка Кригана Старка, Лоннел Сноу стал основателем дома Кассель, одного из немногих рыцарских домов Севера;x
brandon_snow_cranstark;Кровь Брандона Сноу;x
brandon_snow_cranstark_desc;Незаконнорождённый брат Короля, Преклонившего Колено, Торрхена Старка, Брандон Сноу стал основателем дома Кранстарк. Во времена Завоевания хотел самолично убить спящих драконов Таргариенов, но был остановлен братом.;x
TOOLTIPfuneralBEHEMOTHMBS;Сир [This.GetFirstName] владел валирийским мечом Чудовище;x
TOOLTIPfuneralTRISHMBS;Сир [This.GetFirstName] владел валирийским мечом Благородный;x
TOOLTIPfuneralSTATLERMBS;Сир [This.GetFirstName] владел валирийским мечом Постулат;x
TOOLTIPfuneralDRAGONSPHINXMBS;Сир [This.GetFirstName] владел валирийским мечом Драконий Сфинкс;x
trish;Благородный;x
trish_desc;Дорогой валирийский меч с навершием в виде петушиной головы;x
statler;Постулат;x
statler_desc;Дорогой валирийский длинный меч, рукоять которого содержит мотивы необычной птицы;x
dragonsphinx;Драконий Сфинкс;x
dragonsphinx_desc;Дорогой валирийский меч, рукоять которого содержит мотивы неестественного гибрида дракона и сфинкса;x
give_trish_to_son;Даровать Благородного;x
give_trish_to_son_desc;Я передам Благородного [Root.GetFirstName], [Root.GetSheHe] нуждается в этом больше чем я;x
opinion_stole_trish;Похитил мой меч;x
ValyrianSwordtrish;Благородный;x
give_statler_to_son;Даровать Постулат;x
give_statler_to_son_desc;Я передам Постулат [Root.GetFirstName], [Root.GetSheHe] нуждается в этом больше чем я;x
opinion_stole_statler;Похитил мой меч;x
ValyrianSwordstatler;Постулат;x
give_dragonsphinx_to_son;Даровать Драконий Сфинкс;x
give_dragonsphinx_to_son_desc;Я передам Драконьего Сфинкса [Root.GetFirstName], [Root.GetSheHe] нуждается в этом больше, чем я;x
opinion_stole_dragonsphinx;Похитил мой меч;x
ValyrianSworddragonsphinx;Драконий Сфинкс;x
count_yi_ti;Лорд;x
count_female_yi_ti;Леди;x
county_of_yi_ti;Вотчина;x
county_yi_ti;Вотчина;x
tribal_count_yi_ti;Вождь;x
tribal_count_female_yi_ti;Предводительница;x
tribal_county_of_yi_ti;Вождество;x
tribal_county_yi_ti;Вождество;x
count_asabhadi;Лорд;x
count_female_asabhadi;Леди;x
county_of_asabhadi;Вотчина;x
county_asabhadi;Вотчина;x
tribal_count_asabhadi;Вождь;x
tribal_count_female_asabhadi;Предводительница;x
tribal_county_of_asabhadi;Вождество;x
tribal_county_asabhadi;Вождество;x
forelbloodline;Кровь дома Форель;x
forelbloodline_desc;Форели – знатный род из Браавоса, представители которого тяготеют к военному делу, а также к занятиям литературой.;x
reyaanbloodline;Кровь Рейянов;x
reyaanbloodline_desc;Рейяны принадлежат к числу знатных семейств, основавших Железный Банк Браавоса. В память об этом основатели банка получили ключ к обширным подземным сокровищницам. Рейяны до сих пор именуются Хранителями ключей, хотя обладание ключами, которые они гордо предъявляют на торжественных собраниях, превратилось в обычную формальность.;x
zalynebloodline;Кровь Утеро Залине;x
zalynebloodline_desc;Утеро Залине - Морской владыка Браавоса. Прославился тем, что открыл город миру, положив конец конспирации и разослав во все концы света корабли с официальным объявлением о существовании Браавоса, раскрывавшим также местоположение города и приглашавшим все народы отпраздновать 111-ую годовщину его основания. К этой поре все беглые рабы уже скончались, так же, как и их бывшие хозяева. Утеро несколькими годами ранее отправил представителей Железного банка в Валирию, чтобы подготовить почву для события, ставшего известным как Разоблачение или Сбрасывание маски при Утеро. Драконьи владыки подтвердили, что их мало интересуют потомки невольников, бежавших сто лет тому назад, а Железный банк выплатил щедрые отступные потомкам тех, кому принадлежали захваченные основателями Браавоса корабли. Так было достигнуто согласие. Жители Браавоса ежегодно отмечают Разоблачение, когда на десять дней город охватывают пиршества и шумные маскарады.;x
antarbloodline;Кровь Антарионов;x
antarbloodline_desc;Антарионы - один из наиболее древних и уважаемых знатных домов Браавоса, имеющий, валирийское происхождение. На Длинном канале в Браавосе находится высокая четырёхугольная башня, являющаяся фамильной резиденцией Антарионов.;x
reltisbloodline;Кровь Релтисов;x
reltisbloodline_desc;Один из самых древних домов Лората, Релтисы, на протяжении многих поколений, занимали важные государственные должности и обладали немалым авторитетом.;x
cvotarbloodline;Кровь Коллокво Вотара;x
cvotarbloodline_desc;Коллокво Вотар — волантиец из благородного валирийского дома, знаменитый путешественник, посетивший все страны у Нефритового моря и написавший о своих путешествиях книгу “Нефритовый компендиум”. В этой книге, в частности, содержался рассказ об Азоре Ахае и его мече Светозарном, которым герой убил свою жену.;x
maegyrbloodline;Кровь Мейгиров;x
maegyrbloodline_desc;Мейгиры – очень старый и благородный дом Волантиса, представители которого гордятся чистотой своей валирийской крови и могут проследить своё происхождение от знати Древней Валирии.;x
loharbloodline;Кровь дома Лохар;x
loharbloodline_desc;Лохары – старый лиссинейский род, представители которого нередко становились адмиралами или даже магистрами города, прославившись в качестве умелых воинов и флотоводцев.;x
adarysbloodline;Кровь дома Адарис;x
adarysbloodline_desc;Адарисы – старинная династия богатых торговых магнатов из Тироша, представители которой весьма любили власть и деньги, нередко отличаясь своей амбициозностью.;x
ormollbloodline;Кровь Ормолленов;x
ormollbloodline_desc;Ормоллены – весьма уважаемый и богатый дом торговых магнатов из Лиса. История данной семьи насчитывает многие поколения, представители этого дома нередко занимали важные посты в государстве.;x
asabhdbloodline;Кровь дома Катаан;x
asabhdbloodline_desc;Дом Катаан - правящая династия Азабада, города-государства на границе с Золотой Империи И-Ти, расположенного на берегу Нефритового моря, вдоль дороги, соединяющей Кварт и Инь. Катааны - это очень древний и уважаемый род, который существует не одну сотню лет и, судя по легендам, стоит у истоков основания государства.;x
destroy_kingdom_dragonstone;Разрушить Королевство Драконьего Камня;x
destroy_kingdom_dragonstone;;x

RULE_REVOCATION_OF_TITLES;Отзыв титулов ИИ;x
RULE_REVOCATION_OF_TITLES_OPTION_DEFAULT;По умолчанию;x
RULE_REVOCATION_OF_TITLES_DEFAULT_DESC;ИИ как обычно может отзывать тутулы через решение. Это правило направлено чтобы не дать ИИ отзывать титулы за мелкие преступления его вассалов или просто потому что он хочет пополнить свою вотчину.;x
RULE_REVOCATION_OF_TITLES_OPTION_WESTEROS;Отключить для Вестероса;x
RULE_REVOCATION_OF_TITLES_WESTEROS_DESC;Любой правитель со столицей в Вестеросе не сможет использовать решение Отозвать титул.;x
RULE_REVOCATION_OF_TITLES_ALL;Отключить для всех;x
RULE_REVOCATION_OF_TITLES_ALL_DESC;Никто кроме игрока не сможет использовать решение Отозвать титул.;x

tax_levy_law_imperial;Подданые Империи;x
tax_levy_law_imperial_desc;Обязательства подданных империи;x
tax_levy_law_imperial_0;Налоговые обязательства I;x
