#######Riverlands Reclamation
####Duskendale
mbs_reclaim_riv_duskendale_dec;Предъявить претензию на Сумеречный Дол;x
mbs_reclaim_riv_duskendale_dec_desc;Когда Эйгон Дракон завоевал Вестерос, он выкроил область из частей Простора, Речных земель, и Штормовых земель, которая будет подвластна ему и его наследникам напрямую, назвав эту область Королевскими землями. Но это было раньше. Вы не присягали Железному Трону и правите Речными землями как неоспоримый повелитель всего Трезубца. Возможно настало время вернуть эти земли, которые ваши по праву, заявив ваши претензии на лордство Сумеречного Дола?;x
EVTtitlembs_crownlands.1;Возвращение Сумеречного Дола;x
EVTDESCmbs_crownlands.1;Вы вызываете своего мейстера к себе и приказываете ему отправить воронов всем своим вассалам. После того как Эйгон Дракон сломил Харрена Черного, он использовал Сумеречный Дол как часть новых "Королевских земель." Но вы более не преклоняетесь перед королем на Железном троне. Сейчас вы правите Трезубцем как его неоспоримый повелитель и намереваетесь вернуть земли, по праву являющиеся частью вашего королевства. Да будет известно всем, что вы полноправный хозяин Сумеречного Дола.;x
EVTtitlembs_crownlands.101;Бесчестный вызов;x
EVTDESCmbs_crownlands.101;Мой [This.GetLordLady], возмутительные новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Сумеречный Дол. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Сумеречного Дола и все подчиненные им земли законной частью Трезубца.;x
EVTtitlembs_crownlands.102;Тревожное объявление;x
EVTDESCmbs_crownlands.102;Мой [This.GetLordLady], новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Сумеречный Дол. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Сумеречного Дола и все подчиненные им земли законной частью Трезубца, и что мы, по закону, их подданные.;x
####Hayford
mbs_reclaim_riv_hayford_dec;Предъявить претензию на Хейфорд;x
mbs_reclaim_riv_hayford_dec_desc;Когда Эйгон Дракон завоевал Вестерос, он выкроил область из частей Простора, Речных земель, и Штормовых земель, которая будет подвластна ему и его наследникам напрямую, назвав эту область Королевскими землями. Но это было раньше. Вы не присягали Железному Трону и правите Речными землями как неоспоримый повелитель всего Трезубца. Возможно настало время вернуть эти земли, которые ваши по праву, заявив ваши претензии на лордство Хейфорда?;x
EVTtitlembs_crownlands.2;Возвращение Хейфорда;x
EVTDESCmbs_crownlands.2;Вы вызываете своего мейстера к себе и приказываете ему отправить воронов всем своим вассалам. После того как Эйгон Дракон сломил Харрена Черного, он использовал Хейфорд как часть новых "Королевских земель." Но вы более не преклоняетесь перед королем на Железном троне. Сейчас вы правите Трезубцем как его неоспоримый повелитель и намереваетесь вернуть земли, по праву являющиеся частью вашего королевства. Да будет известно всем, что вы полноправный хозяин Хейфорда.;x
EVTtitlembs_crownlands.201;Бесчестный вызов;x
EVTDESCmbs_crownlands.201;Мой [This.GetLordLady], возмутительные новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Хейфорд. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Хейфорда и все подчиненные им земли законной частью Трезубца.;x
EVTtitlembs_crownlands.202;Тревожное объявление;x
EVTDESCmbs_crownlands.202;Мой [This.GetLordLady], новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Хейфорд. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Хейфорда и все подчиненные им земли законной частью Трезубца, и что мы, по закону, их подданные.;x
####Rosby
mbs_reclaim_riv_rosby_dec;Предъявить претензию на Росби;x
mbs_reclaim_riv_rosby_dec_desc;Когда Эйгон Дракон завоевал Вестерос, он выкроил область из частей Простора, Речных земель, и Штормовых земель, которая будет подвластна ему и его наследникам напрямую, назвав эту область Королевскими землями. Но это было раньше. Вы не присягали Железному Трону и правите Речными землями как неоспоримый повелитель всего Трезубца. Возможно настало время вернуть эти земли, которые ваши по праву, заявив ваши претензии на лордство Росби?;x
EVTtitlembs_crownlands.3;Возвращение Росби;x
EVTDESCmbs_crownlands.3;Вы вызываете своего мейстера к себе и приказываете ему отправить воронов всем своим вассалам. После того как Эйгон Дракон сломил Харрена Черного, он использовал Росби как часть новых "Королевских земель." Но вы более не преклоняетесь перед королем на Железном троне. Сейчас вы правите Трезубцем как его неоспоримый повелитель и намереваетесь вернуть земли, по праву являющиеся частью вашего королевства. Да будет известно всем, что вы полноправный хозяин Росби.;x
EVTtitlembs_crownlands.301;Бесчестный вызов;x
EVTDESCmbs_crownlands.301;Мой [This.GetLordLady], возмутительные новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Росби. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Росби и все подчиненные им земли законной частью Трезубца.;x
EVTtitlembs_crownlands.302;Тревожное объявление;x
EVTDESCmbs_crownlands.302;Мой [This.GetLordLady], новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Росби. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Росби и все подчиненные им земли законной частью Трезубца, и что мы, по закону, их подданные.;x
####Stokeworth
mbs_reclaim_riv_stokeworth_dec;Предъявить претензию на Стокворт;x
mbs_reclaim_riv_stokeworth_dec_desc;Когда Эйгон Дракон завоевал Вестерос, он выкроил область из частей Простора, Речных земель, и Штормовых земель, которая будет подвластна ему и его наследникам напрямую, назвав эту область Королевскими землями. Но это было раньше. Вы не присягали Железному Трону и правите Речными землями как неоспоримый повелитель всего Трезубца. Возможно настало время вернуть эти земли, которые ваши по праву, заявив ваши претензии на лордство Стокворт?;x
EVTtitlembs_crownlands.4;Возвращение Стокворта;x
EVTDESCmbs_crownlands.4;Вы вызываете своего мейстера к себе и приказываете ему отправить воронов всем своим вассалам. После того как Эйгон Дракон сломил Харрена Черного, он использовал Стокворт как часть новых "Королевских земель." Но вы более не преклоняетесь перед королем на Железном троне. Сейчас вы правите Трезубцем как его неоспоримый повелитель и намереваетесь вернуть земли, по праву являющиеся частью вашего королевства. Да будет известно всем, что вы полноправный хозяин Стокворта.;x
EVTtitlembs_crownlands.401;Бесчестный вызов;x
EVTDESCmbs_crownlands.401;Мой [This.GetLordLady], возмутительные новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Стокворт. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Стокворт и все подчиненные им земли законной частью Трезубца.;x
EVTtitlembs_crownlands.402;Тревожное объявление;x
EVTDESCmbs_crownlands.402;Мой [This.GetLordLady], новости из [From.Capital.GetName]. Похоже, что [From.GetTitledFirstNameWithDynasty] решил[GetEndA] отказаться от верности Железному Трону и больше не признает указа Эйгона Завоевателя о создании Королевских земель, частью которых является Стокворт. Теперь [From.GetTitledFirstName] хочет воссоздать древние Речные земли и объявил[GetEndA] лордство Стокворт и все подчиненные им земли законной частью Трезубца, и что мы, по закону, их подданные.;x
####the Blackwater Rush
mbs_reclaim_riv_blackwater_rush_dec;Предъявить претензию на Черноводную;x
mbs_reclaim_riv_blackwater_rush_dec_desc;Когда Эйгон Дракон завоевал Вестерос, он выкроил область из частей Простора, Речных земель, и Штормовых земель, которая будет подвластна ему и его наследникам напрямую, назвав эту область Королевскими землями. Но это было раньше. Вы не присягали Железному Трону и правите Речными землями как неоспоримый повелитель всего Трезубца. Возможно настало время вернуть эти земли, которые ваши по праву, заявив ваши претензии на лордство Черноводной?;x
EVTtitlembs_crownlands.5;Возвращение Черноводной;x
EVTDESCmbs_crownlands.5;Вы вызываете своего мейстера к себе и приказываете ему отправить воронов всем своим вассалам. После того как Эйгон Дракон сломил Харрена Черного, он использовал Черноводную как часть новых "Королевских земель." Но вы более не преклоняетесь перед королем на Железном троне. Сейчас вы правите Трезубцем как его неоспоримый повелитель и намереваетесь вернуть земли, по праву являющиеся частью вашего королевства. Да будет известно всем, что вы полноправный хозяин Черноводной.;x
EVTtitlembs_crownlands.501;Бесчестный вызов;x
