#CODE;RUSSIAN;x
#thenn_FEATURES;;x
mountain_clans;Горно-клановая;x

mossovite_opinion;Моссовское Мнение;x
slaver;Рабская;x
sell_swords;Наёмники;x
dornish_sellswords;Дорнийские наёмники;x
northman_sell;Северные наёмники;x
riverlander_sell;Речные наёмники;x
westerman_sell;Западные наёмники;x
valeman_sell;Долинные наёмники;x
stormlander_sell;Штормовые наёмники;x
reachman_sell;Просторские наёмники;x
ironborn_sell;Железнорождённые наёмники;x
dornish_sell;Дорнийские наёмники;x
leng;Лэнгская;x
sothoryos_group;Соториосская;x
horse_group_opinion;Коневодческое мнение;x
horse_opinion;Коневодческое мнение;x
andal_opinion;Андальское мнение;x
riverlander_opinion;Речное мнение;x
westerman_opinion;Западное мнение;x
valeman_opinion;Долинное мнение;x
crownlander_opinion;Королевское мнение;x
stormlander_opinion;Штормовое мнение;x
reachman_opinion;Просторское мнение;x
hedge_opinion;Межевое мнение;x
sisterman_opinion;Сестринское мнение;x
old_andal_opinion;Андальское мнение;x
dornish_andal_opinion;Дорнийское мнение;x
dornish_opinion;Дорнийское мнение;x
stone_dornish_opinion;Каменно-Дорнийское мнение;x
sand_dornish_opinion;Песчанно-Дорнийское мнение;x
salt_dornish_opinion;Соленно-Дорнийское мнение;x
rhoynar_opinion;Ройнарское мнение;x
first_men_opinion;Мнение Первых людей;x
northman_opinion;Северное мнение;x
hill_clansman_opinion;Холмовое мнение;x
crannogman_opinion;Озерное мнение;x
half_southron_opinion;Полуюжное мнение;x
crackclawmen_opinion;Клешневое мнение;x
moon_clansman_opinion;Горно-клановое мнение;x
skagosi_opinion;Скагосское мнение;x
old_first_man_opinion;Мнение Первых людей;x
free_folk_opinion;Мнение Вольного Народа;x
wildling_opinion;Мнение Одичалых;x
thenn_opinion;Мнение Теннов;x
frozen_shore_opinion;Мнение Стылобережья;x
hornfoot_opinion;Мнение Рогоногих;x
cannibal_clan_opinion;Мнение кланов ледяных рек;x
iron_isles_culture_opinion;Мнение Железнорождённых;x
ironborn_opinion;Мнение Железнорождённых;x
valyrian_opinion;Валирийское мнение;x
high_valyrian_opinion;Высшевалирийское мнение;x
western_valyrian_opinion;Мнение Вестеросских валирийцев;x
eastern_valyrian_opinion;Мнение Эссоских валирийцев;x
mantaryan_opinion;Мантарианское мнение;x
tolosi_opinion;Толосийское мнение;x
elyrian_opinion;Элирийское мнение;x
dragon_opinion;Драконье мнение;x
free_cities_opinion;Эссоское мнение;x
pentosi_opinion;Пентошийское мнение;x
braavosi_opinion;Браавосийское мнение;x
lysene_opinion;Лиссенийское мнение;x
qohorik_opinion;Квохорское мнение;x
norvosi_opinion;Норвосское мнение;x
myrman_opinion;Мирийское мнение;x
tyroshi_opinion;Тирошийское мнение;x
volantene_opinion;Волантийское мнение;x
lorathi_opinion;Лоратийское мнение;x
ghiscari_group_opinion;Гискарское мнение;x
astapori_opinion;Астапорское мнение;x
yunkaii_opinion;Юнкайское мнение;x
meereenese_opinion;Миэринское мнение;x
ghiscari_opinion;Гискарское мнение;x
dothraki_group_opinion;Дотракийское мнение;x
dothraki_opinion;Дотракийское мнение;x
lhazareen_opinion;Лхазарянское мнение;x
sarnor_group_opinion;Сарнорское мнение;x
sarnorian_opinion;Сарнорское мнение;x
omberi_opinion;Омберийское мнение;x
hyrkoon_group_opinion;Гиркунское мнение;x
hyrkooni_opinion;Гиркунское мнение;x
kayakayanayan_opinion;Каякаянаянское мнение;x
samyrianan_opinion;Самирианское мнение;x
yinisharian_opinion;Инишарское мнение;x
marjianarshian_opinion;Марджианарское мнение;x
chorasmarian_opinion;Хоразмианское мнение;x
bayasabhadi_opinion;Баясабадийское мнение;x
moraqi_group_opinion;Моракийское мнение;x
farosi_opinion;Фаросийское мнение;x
moraqi_opinion;Моракийское мнение;x
zabhadi_opinion;Забхадийское мнение;x
vahari_opinion;Вахарийское мнение;x
asabhadi_opinion;Азабадийское мнение;x
yi_ti_group_opinion;Итийское мнение;x
yi_ti_opinion;Итийское мнение;x
jade_islands_group_opinion;Мнение Нефритовых Островов;x
lengi_opinion;Лэнгское мнение;x
asshai_group_opinion;Асшайское мнение;x
asshai_opinion;Асшайское мнение;x
shadowlander_opinion;Мнение Края Теней;x
further_east_opinion;Мнение дальнего востока;x
grey_waste_opinion;Сероклановое мнение;x
ruin_waste_opinion;Восточноклановое мнение;x
blood_waste_opinion;Бескровноклановое мнение;x
winged_waste_opinion;Крылатоклановое мнение;x
yi_tan_opinion;И-Таньское мнение;x
qarth_group_opinion;Кваатийское мнение;x
qartheen_opinion;Квартийское мнение;x
armsman_opinion;Армсманское мнение;Armsman Opinion;x
ibbenese_group_opinion;Иббенийское мнение;x
ibbenese_opinion;Иббенийское мнение;x
jogos_nhai_group_opinion;Джогоснхайское мнение;x
jogos_nhai_opinion;Джогоснхайское мнение;x
nghai_group_opinion;Нгхайское мнение;x
nghai_opinion;Нгхайское мнение;x
islander_group_opinion;Тысячеостровное мнение;x
islander_opinion;Тысячеостровное мнение;x
old_races_opinion;Мнение Старых Рас;x
giant_opinion;Мнение Гигантов;x
children_forest_opinion;Мнение Детей Леса;x
winter_group_opinion;Мнение Зимы;x
white_walker_opinion;Мнение Белых Ходоков;x
winter_wasteland_opinion;Мнение Зимней Пустоши;x
summer_islands_opinion;Мнение Летних Островов;x
summer_islander_opinion;Летнийское мнение;x
sothoryos_islands_opinion;Соториосское мнение;x
basilisk_islander_opinion;Василискоостровное мнение;x
brindlemen_opinion;Мнение Пятнистых людей;x
naath_group_opinion;Наатийское мнение;x
naathi_opinion;Наатийское мнение;x
unoccupied_group_opinion;Пустое мнение;x
ruin_opinion;Руинное мнение;x
backward_culture_modifier;Отсталая культура;x
giant_culture_modifier;Войска гигантов;x
northman_andal_opinion;Северо-андальское мнение;x
gogossosi_opinion;Гогоссоское мнение;x
essarian_opinion;Эссарийское мнение;x
